Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
ACS,02/01/2019,33.2400,33.8300,573291,19005404.64,33.2400,33.6700,32.6200,33.1515
ACS,03/01/2019,33.3200,33.2400,816625,27159192.72,33.3200,33.6300,32.8000,33.3648
ACS,04/01/2019,33.8200,33.3200,951581,32175535.30,33.8200,33.9900,33.5700,33.8127
ACS,07/01/2019,33.9300,33.8200,1484482,50536998.91,33.9300,34.3000,33.6300,33.9304
ACS,08/01/2019,34.2800,33.9300,1250223,42749984.54,34.2800,34.6300,33.8400,34.2897
ACS,09/01/2019,34.5800,34.2800,626899,21698135.53,34.5800,34.9300,34.3500,34.6119
ACS,10/01/2019,34.2900,34.5800,623213,21301965.50,34.2900,34.4100,33.9300,34.2057
ACS,11/01/2019,34.6200,34.2900,511848,17691496.32,34.6200,35.0000,34.1900,34.6269
ACS,14/01/2019,34.1200,34.6200,465745,15932557.29,34.1200,34.6000,34.0100,34.2088
ACS,15/01/2019,33.6600,34.1200,1007077,34279631.85,33.6600,34.6600,33.6600,33.8322
ACS,16/01/2019,34.1400,33.6600,590050,20049118.68,34.1400,34.1400,33.6500,34.0073
ACS,17/01/2019,34.4500,34.1400,1288486,44028196.80,34.4500,34.5800,33.8500,34.3852
ACS,18/01/2019,35.3200,34.4500,805697,28364783.53,35.3200,35.3900,34.7200,35.2053
ACS,21/01/2019,35.3300,35.3200,624157,22058995.43,35.3300,35.5900,35.0600,35.3421
ACS,22/01/2019,35.5500,34.8800,705826,25079159.38,35.5500,35.7700,34.9000,35.5316
ACS,23/01/2019,35.6400,35.5500,814003,29109216.74,35.6400,36.0800,35.3200,35.7567
ACS,24/01/2019,35.9000,35.6400,783834,28112579.32,35.9000,36.2400,35.5300,35.8741
ACS,25/01/2019,36.2000,35.9000,796477,28920879.94,36.2000,36.5400,36.0200,36.2598
ACS,28/01/2019,36.2700,36.2000,671870,24401779.35,36.2700,36.6300,36.1000,36.3074
ACS,29/01/2019,36.0000,36.2700,686454,24704740.16,36.0000,36.2300,35.6100,35.9966
ACS,30/01/2019,36.2200,36.0000,2220602,79933327.08,36.2200,36.2200,35.6200,36.0930
ACS,31/01/2019,36.1000,36.2200,658392,23781237.12,36.1000,36.4900,35.9300,36.1202
ACS,01/02/2019,36.3000,36.1000,553297,20057760.08,36.3000,36.4300,36.0400,36.2577
ACS,04/02/2019,35.8600,36.3000,842505,30349824.35,35.8600,36.3800,35.5400,35.8494
ACS,05/02/2019,36.2100,35.8600,739395,26647935.98,36.2100,36.2500,35.6300,36.1325
ACS,06/02/2019,35.8000,36.2100,668291,24011131.17,35.8000,36.2000,35.7700,35.8613
ACS,07/02/2019,35.1900,35.8000,1391673,49518007.11,35.1900,36.0800,35.1900,35.3820
ACS,08/02/2019,35.1700,35.1900,476762,16781825.80,35.1700,35.4200,34.8800,35.1996
ACS,11/02/2019,35.8200,35.1700,543832,19466180.26,35.8200,35.9600,35.2900,35.7984
ACS,12/02/2019,36.0400,35.8200,695527,25060431.29,36.0400,36.2400,35.8600,36.0521
