Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
AENA,02/01/2019,137.0000,135.7500,143458,19591073.50,137.0000,138.0000,133.9500,136.5631
AENA,03/01/2019,137.0500,137.0000,461151,63059756.45,137.0500,139.1500,136.4000,137.4490
AENA,04/01/2019,140.5000,137.0500,110214,15444845.65,140.5000,140.9500,137.7000,140.1351
AENA,07/01/2019,139.1500,140.5000,92663,12908476.55,139.1500,141.1000,138.2000,139.3056
AENA,08/01/2019,140.0000,139.1500,179857,25206724.88,140.0000,141.0500,138.8000,140.1306
AENA,09/01/2019,138.5000,140.0000,163959,22859110.75,138.5000,141.6500,138.3500,138.8855
AENA,10/01/2019,139.2500,138.5000,181664,25208702.51,139.2500,139.5000,137.5500,138.8824
AENA,11/01/2019,139.4500,139.2500,710391,99120299.80,139.4500,139.9000,138.6500,139.3964
AENA,14/01/2019,138.5000,139.4500,117354,16271021.15,138.5000,140.3500,138.3000,138.6491
AENA,15/01/2019,138.9500,138.5000,162627,22603250.85,138.9500,140.2000,137.2000,138.7316
AENA,16/01/2019,142.5000,138.9500,172835,24533145.35,142.5000,143.2000,139.7000,141.9455
AENA,17/01/2019,141.3500,142.5000,122321,17286044.05,141.3500,141.8500,140.6000,141.3171
AENA,18/01/2019,142.9000,141.3500,241296,34361646.68,142.9000,143.1000,141.7500,142.5277
AENA,21/01/2019,144.7500,142.9000,152491,22040650.95,144.7500,146.4500,143.5500,144.9543
AENA,22/01/2019,147.0500,144.7500,790832,115048699.55,147.0500,147.1500,144.5000,146.4991
AENA,23/01/2019,148.7500,147.0500,182532,27165238.65,148.7500,149.7500,145.9000,148.8158
AENA,24/01/2019,150.6000,148.7500,242387,36383535.92,150.6000,150.7500,148.4000,150.1997
AENA,25/01/2019,150.3000,150.6000,202950,30554547.10,150.3000,153.9500,148.8000,150.4125
AENA,28/01/2019,147.4000,150.3000,154353,22791608.85,147.4000,150.4000,146.5500,147.6590
AENA,29/01/2019,147.7500,147.4000,156812,23219712.15,147.7500,149.3500,147.4500,148.0736
AENA,30/01/2019,148.7500,147.7500,253530,37611384.70,148.7500,148.8500,147.5500,148.5428
AENA,31/01/2019,150.8000,148.7500,767315,115502569.21,150.8000,150.9500,148.8500,150.4753
AENA,01/02/2019,151.0500,150.8000,91811,13807448.95,151.0500,151.5000,148.1000,150.3899
AENA,04/02/2019,150.2000,151.0500,179124,26936427.20,150.2000,151.1000,149.6500,150.2789
AENA,05/02/2019,151.8000,150.2000,286897,43283188.10,151.8000,151.8000,149.3500,151.3141
AENA,06/02/2019,150.2500,151.8000,96207,14462536.05,150.2500,152.0000,149.8500,150.3273
AENA,07/02/2019,149.2500,150.2500,160660,24076076.45,149.2500,151.4000,149.2000,149.6919
AENA,08/02/2019,147.7000,149.2500,181215,26835286.45,147.7000,149.2500,147.7000,147.9480
AENA,11/02/2019,147.8000,147.7000,214568,31845595.15,147.8000,150.1500,147.8000,148.1588
AENA,12/02/2019,149.6000,147.8000,120555,18048371.45,149.6000,150.6000,148.0500,149.7107
AENA,13/02/2019,149.3500,149.6000,138369,20653238.00,149.3500,150.2500,148.4500,149.3136
AENA,14/02/2019,150.3500,149.3500,142800,21459829.63,150.3500,151.0000,148.9500,150.2667
AENA,15/02/2019,153.5500,150.3500,166134,25382347.03,153.5500,153.5500,149.6500,152.9806
AENA,18/02/2019,153.8500,153.5500,171588,26346348.30,153.8500,153.9000,152.3000,153.6658
AENA,19/02/2019,153.9000,153.8500,99071,15223385.80,153.9000,153.9000,152.9000,153.6940
AENA,20/02/2019,154.0000,153.9000,379998,58574792.50,154.0000,155.8000,153.6500,154.2533
AENA,21/02/2019,155.4000,154.0000,120581,18688643.60,155.4000,155.7000,153.9500,155.2778
AENA,22/02/2019,155.8000,155.4000,112379,17505539.95,155.8000,156.0000,154.7500,155.7723
AENA,25/02/2019,156.0000,155.8000,94089,14666972.85,156.0000,156.6000,154.7500,155.8840
AENA,26/02/2019,157.8000,156.0000,149679,23531166.80,157.8000,157.8000,155.0000,157.4075
AENA,27/02/2019,155.5000,157.8000,157681,24589947.90,155.5000,158.6500,155.2000,155.9474
AENA,28/02/2019,156.9000,155.5000,256775,40278543.70,156.9000,157.9500,154.9000,156.8494
AENA,01/03/2019,155.9500,156.9000,139920,21897389.65,155.9500,158.3000,155.9500,156.5388
AENA,04/03/2019,157.3500,155.9500,136945,21545278.10,157.3500,158.1500,156.2500,157.3280
AENA,05/03/2019,159.3000,157.3500,203022,32246072.65,159.3000,159.3000,156.9000,158.8304
AENA,06/03/2019,158.8000,159.3000,237186,37728826.23,158.8000,160.5500,158.7500,159.0163
AENA,07/03/2019,158.5000,158.8000,231292,36716160.35,158.5000,159.3500,158.0000,158.6559
AENA,08/03/2019,158.5000,158.5000,199023,31547100.70,158.5000,159.3500,158.2500,158.6090
AENA,11/03/2019,157.8000,158.5000,245772,38950622.40,157.8000,159.0000,157.0000,157.8179
AENA,12/03/2019,158.9500,157.8000,131955,20951503.30,158.9500,159.1500,157.7500,158.7776
AENA,13/03/2019,158.5000,158.9500,231446,36569938.02,158.5000,158.5500,156.6500,158.1463
AENA,14/03/2019,159.5000,158.5000,309651,49270325.86,159.5000,161.0000,158.5500,159.6101
