Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
BBVA,02/01/2019,4.6635,4.6355,19834470,91222718.14,4.6635,4.6960,4.5100,4.6060
BBVA,03/01/2019,4.6760,4.6635,19019827,88995282.24,4.6760,4.7390,4.6260,4.6843
BBVA,04/01/2019,4.8505,4.6760,24676124,118835788.31,4.8505,4.8780,4.7220,4.8177
BBVA,07/01/2019,4.8335,4.8505,15376663,74509799.90,4.8335,4.8935,4.8010,4.8394
BBVA,08/01/2019,4.8745,4.8335,25603840,125439278.86,4.8745,4.9235,4.8345,4.8810
BBVA,09/01/2019,4.9405,4.8745,23501867,116381963.03,4.9405,5.0270,4.8985,4.9533
BBVA,10/01/2019,4.9840,4.9405,16193913,80744334.40,4.9840,5.0050,4.8830,4.9674
BBVA,11/01/2019,5.0360,4.9840,24160526,120913429.39,5.0360,5.0490,4.9440,5.0109
BBVA,14/01/2019,4.9885,5.0360,20986389,104299990.74,4.9885,5.0160,4.9270,4.9719
BBVA,15/01/2019,4.9895,4.9885,18600378,92746040.61,4.9895,5.0690,4.9110,4.9826
BBVA,16/01/2019,5.1100,4.9895,25342179,128426894.08,5.1100,5.1100,5.0000,5.0739
BBVA,17/01/2019,5.0370,5.1100,19652507,99340197.55,5.0370,5.1100,5.0240,5.0518
BBVA,18/01/2019,5.2000,5.0370,31302793,161871348.98,5.2000,5.2000,5.0740,5.1708
BBVA,21/01/2019,5.2060,5.2000,8285333,43001145.13,5.2060,5.2100,5.1560,5.1900
BBVA,22/01/2019,5.1700,5.2060,31732897,163671965.11,5.1700,5.1780,5.1340,5.1636
BBVA,23/01/2019,5.2270,5.1700,20085898,104700445.31,5.2270,5.2650,5.1410,5.2229
BBVA,24/01/2019,5.2050,5.2270,22846541,119382954.37,5.2050,5.2700,5.1450,5.2232
BBVA,25/01/2019,5.3040,5.2050,21265203,112098956.74,5.3040,5.3090,5.2200,5.2769
BBVA,28/01/2019,5.2450,5.3040,15830273,83369680.66,5.2450,5.3310,5.2340,5.2656
BBVA,29/01/2019,5.2600,5.2450,13877927,72919964.32,5.2600,5.2810,5.2110,5.2549
BBVA,30/01/2019,5.2580,5.2600,21445792,112846186.69,5.2580,5.2990,5.2350,5.2595
BBVA,31/01/2019,5.1700,5.2580,26593989,137560214.61,5.1700,5.2930,5.0870,5.1688
BBVA,01/02/2019,5.1970,5.1700,25487453,131864011.05,5.1970,5.2610,5.0620,5.1743
BBVA,04/02/2019,5.1710,5.1970,18914727,97813808.81,5.1710,5.2220,5.1100,5.1645
BBVA,05/02/2019,5.2230,5.1710,25543242,133022576.61,5.2230,5.2300,5.1560,5.2084
BBVA,06/02/2019,5.2410,5.2230,38241211,199148382.25,5.2410,5.2450,5.1640,5.2196
BBVA,07/02/2019,5.0770,5.2410,19900996,101871360.51,5.0770,5.2350,5.0680,5.1189
BBVA,08/02/2019,5.0580,5.0770,16812897,85165672.28,5.0580,5.1160,5.0170,5.0655
BBVA,11/02/2019,5.1150,5.0580,15736127,80650910.07,5.1150,5.1740,5.0890,5.1270
BBVA,12/02/2019,5.2010,5.1150,19759675,102516895.65,5.2010,5.2090,5.1000,5.1854
BBVA,13/02/2019,5.1010,5.2010,19557997,100274279.56,5.1010,5.2160,5.1010,5.1277
BBVA,14/02/2019,5.0280,5.1010,25569651,129241173.48,5.0280,5.1250,4.9900,5.0354
BBVA,15/02/2019,5.1940,5.0280,32310361,166741387.42,5.1940,5.2180,4.9985,5.1609
BBVA,18/02/2019,5.2270,5.1940,11667295,61043966.96,5.2270,5.2590,5.2030,5.2309
BBVA,19/02/2019,5.1890,5.2270,19183939,99397151.80,5.1890,5.2480,5.1280,5.1752
BBVA,20/02/2019,5.2370,5.1890,17642761,91976202.29,5.2370,5.2510,5.1780,5.2175
BBVA,21/02/2019,5.2240,5.2370,17236530,91679060.26,5.2240,5.2560,5.1900,5.2220
