Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
SAB,02/01/2019,1.0010,1.0005,16774141,16450026.39,1.0010,1.0035,0.9620,0.9810
SAB,03/01/2019,0.9976,1.0010,83789132,83241133.39,0.9976,1.0125,0.9850,0.9995
SAB,04/01/2019,1.0440,0.9976,20441070,21090192.70,1.0440,1.0475,1.0025,1.0318
SAB,07/01/2019,1.0475,1.0440,17213834,17982470.90,1.0475,1.0520,1.0315,1.0445
SAB,08/01/2019,1.0485,1.0475,24451671,25671068.36,1.0485,1.0595,1.0365,1.0502
SAB,09/01/2019,1.0470,1.0485,16844330,17716984.26,1.0470,1.0595,1.0405,1.0507
SAB,10/01/2019,1.0310,1.0470,31961187,33118071.32,1.0310,1.0505,1.0275,1.0340
SAB,11/01/2019,1.0260,1.0310,18515095,18985221.65,1.0260,1.0380,1.0140,1.0254
SAB,14/01/2019,1.0195,1.0260,27851244,28373781.74,1.0195,1.0295,1.0095,1.0182
SAB,15/01/2019,1.0210,1.0195,17031424,17412030.02,1.0210,1.0350,1.0120,1.0223
SAB,16/01/2019,1.0700,1.0210,30317596,31926359.46,1.0700,1.0710,1.0290,1.0566
SAB,17/01/2019,1.0305,1.0700,26121636,27180415.51,1.0305,1.0685,1.0305,1.0404
SAB,18/01/2019,1.0630,1.0305,30388658,32252424.15,1.0630,1.0735,1.0450,1.0633
SAB,21/01/2019,1.0440,1.0630,19829950,20921960.86,1.0440,1.0645,1.0440,1.0493
SAB,22/01/2019,1.0295,1.0440,59710186,61195036.43,1.0295,1.0380,1.0160,1.0272
SAB,23/01/2019,1.0555,1.0295,22702002,23649427.26,1.0555,1.0600,1.0190,1.0481
SAB,24/01/2019,1.0345,1.0555,24948765,26204923.31,1.0345,1.0730,1.0340,1.0489
SAB,25/01/2019,1.0800,1.0345,28785215,30803914.02,1.0800,1.0800,1.0435,1.0700
SAB,28/01/2019,1.0465,1.0800,31054219,32905649.25,1.0465,1.0830,1.0465,1.0555
SAB,29/01/2019,1.0390,1.0465,18526799,19223773.92,1.0390,1.0495,1.0220,1.0377
