Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
SAN,02/01/2019,3.9775,3.9730,36201517,141816020.14,3.9775,3.9980,3.8300,3.9151
SAN,03/01/2019,4.0095,3.9775,31742740,127273357.92,4.0095,4.0430,3.9420,4.0092
SAN,04/01/2019,4.1595,4.0095,47443453,196117154.20,4.1595,4.1820,4.0420,4.1344
SAN,07/01/2019,4.1830,4.1595,43652846,182420740.00,4.1830,4.1995,4.1345,4.1746
SAN,08/01/2019,4.2175,4.1830,48127831,203185584.45,4.2175,4.2705,4.1745,4.2228
SAN,09/01/2019,4.1995,4.2175,35561859,150069478.56,4.1995,4.2645,4.1870,4.2191
SAN,10/01/2019,4.2755,4.1995,36072030,153222316.84,4.2755,4.2755,4.1620,4.2475
SAN,11/01/2019,4.2830,4.2755,116787787,497962235.81,4.2830,4.2985,4.2390,4.2763
SAN,14/01/2019,4.2455,4.2830,101808639,431117175.74,4.2455,4.2710,4.1900,4.2291
SAN,15/01/2019,4.2625,4.2455,76225721,325398896.14,4.2625,4.3200,4.1910,4.2549
SAN,16/01/2019,4.3055,4.2625,49090857,210063536.50,4.3055,4.3170,4.2120,4.2827
SAN,17/01/2019,4.2570,4.3055,95074003,404428970.01,4.2570,4.2970,4.2415,4.2632
SAN,18/01/2019,4.3555,4.2570,169384922,732190979.35,4.3555,4.3590,4.2820,4.3395
SAN,21/01/2019,4.3450,4.3555,269970804,1172361340.89,4.3450,4.3600,4.3185,4.3365
SAN,22/01/2019,4.3095,4.3450,258472845,1112780373.02,4.3095,4.3290,4.2740,4.3020
SAN,23/01/2019,4.3550,4.3095,79578747,344679956.39,4.3550,4.3800,4.2900,4.3464
SAN,24/01/2019,4.3355,4.3550,250739919,1099255730.82,4.3355,4.4200,4.2875,4.3620
SAN,25/01/2019,4.4180,4.3355,95336328,417555495.04,4.4180,4.4180,4.3455,4.3956
SAN,28/01/2019,4.3440,4.4180,29710794,129528662.97,4.3440,4.4150,4.3315,4.3607
SAN,29/01/2019,4.3400,4.3440,33680208,146098040.22,4.3400,4.3705,4.2950,4.3382
SAN,30/01/2019,4.1990,4.2750,54931431,232402465.82,4.1990,4.3900,4.1700,4.2312
SAN,31/01/2019,4.1320,4.1990,126921594,525904253.28,4.1320,4.2300,4.0800,4.1301
SAN,01/02/2019,4.0695,4.1320,134352593,550773669.21,4.0695,4.1450,4.0265,4.0701
SAN,04/02/2019,4.0310,4.0695,349172103,1410939841.78,4.0310,4.0850,3.9890,4.0227
SAN,05/02/2019,4.1050,4.0310,295869761,1195590059.50,4.1050,4.1365,4.0130,4.0959
SAN,06/02/2019,4.1240,4.1050,265526091,1083201324.37,4.1240,4.1435,4.0550,4.1112
SAN,07/02/2019,3.9935,4.1240,160279617,655069889.44,3.9935,4.1490,3.9935,4.0342
SAN,08/02/2019,3.9630,3.9935,55920570,222811034.07,3.9630,4.0160,3.9420,3.9725
SAN,11/02/2019,4.0110,3.9630,99275895,397245641.43,4.0110,4.0420,3.9810,4.0103
SAN,12/02/2019,4.0045,4.0110,102581885,413635283.61,4.0045,4.0600,4.0035,4.0207
