Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
BKIA,02/01/2019,2.5300,2.5600,4164952,10467613.16,2.5300,2.5490,2.4670,2.5133
BKIA,03/01/2019,2.5080,2.5300,5427749,13700169.40,2.5080,2.5750,2.5050,2.5241
BKIA,04/01/2019,2.6490,2.5080,6246179,16352075.49,2.6490,2.6680,2.5200,2.6179
BKIA,07/01/2019,2.6640,2.6490,5053929,13418652.45,2.6640,2.6760,2.6280,2.6560
BKIA,08/01/2019,2.6890,2.6640,6576013,17784235.41,2.6890,2.7470,2.6740,2.7044
BKIA,09/01/2019,2.6630,2.6890,5274691,14107568.16,2.6630,2.7230,2.6480,2.6746
BKIA,10/01/2019,2.6330,2.6630,5475657,14443638.65,2.6330,2.6650,2.6090,2.6378
BKIA,11/01/2019,2.5950,2.6330,7822242,20277874.42,2.5950,2.6370,2.5650,2.5923
BKIA,14/01/2019,2.5930,2.5950,6870454,17768683.74,2.5930,2.6070,2.5530,2.5840
BKIA,15/01/2019,2.5770,2.5930,6253993,16211072.96,2.5770,2.6500,2.5630,2.5921
BKIA,16/01/2019,2.6330,2.5770,6202160,16259523.48,2.6330,2.6350,2.5870,2.6216
BKIA,17/01/2019,2.5660,2.6330,6850983,17672119.51,2.5660,2.6280,2.5580,2.5795
BKIA,18/01/2019,2.5970,2.5660,6413984,16700491.68,2.5970,2.6400,2.5800,2.6038
BKIA,21/01/2019,2.5560,2.5970,4324054,11094295.68,2.5560,2.5920,2.5540,2.5657
BKIA,22/01/2019,2.4900,2.5560,22053102,55056925.56,2.4900,2.5500,2.4630,2.4944
BKIA,23/01/2019,2.5760,2.4900,15691177,39529385.70,2.5760,2.5910,2.4800,2.5641
BKIA,24/01/2019,2.5390,2.5760,9776484,25133786.48,2.5390,2.6330,2.5250,2.5692
BKIA,25/01/2019,2.5890,2.5390,10396905,26724433.89,2.5890,2.6120,2.5150,2.5708
BKIA,28/01/2019,2.5480,2.5890,10351318,26676902.29,2.5480,2.6500,2.5370,2.5775
BKIA,29/01/2019,2.5460,2.5480,9666196,24437726.12,2.5460,2.5580,2.4840,2.5290
BKIA,30/01/2019,2.5650,2.5460,7040820,18014425.36,2.5650,2.5730,2.5240,2.5586
BKIA,31/01/2019,2.5400,2.5650,8442547,21539662.76,2.5400,2.5990,2.5290,2.5494
BKIA,01/02/2019,2.4800,2.5400,9614137,23788667.59,2.4800,2.5330,2.4210,2.4736
BKIA,04/02/2019,2.4280,2.4800,5831898,14198445.48,2.4280,2.4850,2.4150,2.4346
BKIA,05/02/2019,2.4970,2.4280,7635906,18900031.67,2.4970,2.4970,2.4060,2.4753
BKIA,06/02/2019,2.5530,2.4970,5659882,14332713.35,2.5530,2.5530,2.4740,2.5337
BKIA,07/02/2019,2.4800,2.5530,7239336,18037563.25,2.4800,2.5730,2.4730,2.4916
BKIA,08/02/2019,2.4680,2.4800,14596152,36428121.89,2.4680,2.5090,2.4450,2.4750
BKIA,11/02/2019,2.5010,2.4680,3639525,9095294.53,2.5010,2.5120,2.4700,2.4990
BKIA,12/02/2019,2.5290,2.5010,4752043,12154298.08,2.5290,2.5440,2.4910,2.5246
BKIA,13/02/2019,2.5180,2.5290,5004979,12634144.99,2.5180,2.5590,2.5050,2.5243
BKIA,14/02/2019,2.4770,2.5180,7061593,17675336.25,2.4770,2.5350,2.4770,2.4962
BKIA,15/02/2019,2.5480,2.4770,4891404,12353659.43,2.5480,2.5550,2.4430,2.5256
BKIA,18/02/2019,2.5600,2.5480,5057893,12971582.61,2.5600,2.5890,2.5470,2.5682
