Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
BKT,02/01/2019,6.9800,7.0180,1219753,8444810.91,6.9800,7.0120,6.8000,6.9234
BKT,03/01/2019,6.9420,6.9800,2142728,14868788.05,6.9420,7.0200,6.8800,6.9467
BKT,04/01/2019,7.1580,6.9420,1725530,12294931.88,7.1580,7.1900,6.9760,7.1253
BKT,07/01/2019,7.1540,7.1580,2663550,19012637.34,7.1540,7.2060,7.0920,7.1504
BKT,08/01/2019,7.2360,7.1540,2494581,18030222.18,7.2360,7.3040,7.1500,7.2464
BKT,09/01/2019,7.0820,7.2360,1872831,13375247.03,7.0820,7.3140,7.0580,7.1416
BKT,10/01/2019,7.0000,7.0820,1999969,14038029.56,7.0000,7.1100,6.9680,7.0191
BKT,11/01/2019,6.8440,7.0000,2511694,17260605.84,6.8440,7.0040,6.8360,6.8721
BKT,14/01/2019,6.8080,6.8440,1867828,12697546.53,6.8080,6.8420,6.7440,6.7980
BKT,15/01/2019,6.8780,6.8080,1430419,9838497.94,6.8780,6.9260,6.8460,6.8781
BKT,16/01/2019,7.0980,6.8780,3206522,22503568.19,7.0980,7.1040,6.9100,7.0547
BKT,17/01/2019,6.9920,7.0980,1593167,11178047.02,6.9920,7.0940,6.9920,7.0162
BKT,18/01/2019,7.1140,6.9920,3065825,21761289.79,7.1140,7.1420,7.0440,7.1143
BKT,21/01/2019,7.0400,7.1140,1841155,12994557.00,7.0400,7.1080,6.9940,7.0356
BKT,22/01/2019,7.0220,7.0400,2712112,18967879.56,7.0220,7.0500,6.9340,7.0025
BKT,23/01/2019,7.1760,7.0220,2418454,17315759.43,7.1760,7.2700,6.9840,7.1742
BKT,24/01/2019,7.2740,7.1760,4012782,29437661.15,7.2740,7.4780,7.1940,7.3302
BKT,25/01/2019,7.3000,7.2740,2731433,19957938.95,7.3000,7.4040,7.2460,7.3079
BKT,28/01/2019,7.0460,7.3000,2963033,21115136.49,7.0460,7.2500,7.0460,7.1031
BKT,29/01/2019,7.0220,7.0460,2297443,16132177.39,7.0220,7.0600,6.9640,7.0212
BKT,30/01/2019,6.9740,7.0220,1825344,12734634.29,6.9740,7.0340,6.9360,6.9766
BKT,31/01/2019,6.8080,6.9740,3710472,25338910.19,6.8080,7.0180,6.7820,6.8308
BKT,01/02/2019,6.7340,6.8080,4373985,29484159.75,6.7340,6.8260,6.6860,6.7397
BKT,04/02/2019,6.5900,6.7340,3416397,22537762.29,6.5900,6.7120,6.5300,6.5974
BKT,05/02/2019,6.6300,6.5900,3086353,20444864.76,6.6300,6.6760,6.5460,6.6290
BKT,06/02/2019,6.7260,6.6300,2240429,14995539.23,6.7260,6.7260,6.5720,6.6932
BKT,07/02/2019,6.6060,6.7260,2030492,13524933.96,6.6060,6.7440,6.6060,6.6585
BKT,08/02/2019,6.5500,6.6060,2242099,14732598.82,6.5500,6.6200,6.5100,6.5622
BKT,11/02/2019,6.6540,6.5500,1311409,8717323.86,6.6540,6.6880,6.5720,6.6473
BKT,12/02/2019,6.7400,6.6540,1743620,11724948.03,6.7400,6.7680,6.6320,6.7245
BKT,13/02/2019,6.7020,6.7400,2161444,14533390.17,6.7020,6.7840,6.6720,6.7217
BKT,14/02/2019,6.6540,6.7020,2198502,14694628.36,6.6540,6.7880,6.6480,6.6835
BKT,15/02/2019,6.9120,6.6540,3389385,23030554.87,6.9120,6.9200,6.6040,6.8388
BKT,18/02/2019,6.9160,6.9120,1716403,11889723.12,6.9160,6.9740,6.8920,6.9259
BKT,19/02/2019,6.9280,6.9160,1082833,7470848.74,6.9280,6.9280,6.8340,6.8994
BKT,20/02/2019,6.9440,6.9280,1758017,12193725.24,6.9440,6.9600,6.8800,6.9308
BKT,21/02/2019,6.9340,6.9440,1382799,9569900.86,6.9340,6.9660,6.8600,6.9207
BKT,22/02/2019,6.9020,6.9340,1039194,7191579.65,6.9020,6.9620,6.8920,6.9203
BKT,25/02/2019,6.9500,6.9020,2334886,16247150.16,6.9500,7.0040,6.9180,6.9592
BKT,26/02/2019,7.0000,6.9500,961096,6709920.56,7.0000,7.0280,6.9100,6.9815
BKT,27/02/2019,7.0660,7.0000,3020976,21213005.75,7.0660,7.1040,6.9660,7.0560
BKT,28/02/2019,7.2220,7.0660,3006821,21633296.62,7.2220,7.2500,7.0280,7.1933
BKT,01/03/2019,7.1600,7.2220,2863215,20683456.88,7.1600,7.2640,7.1460,7.2028
BKT,04/03/2019,7.1440,7.1600,1396783,9976118.95,7.1440,7.2160,7.1020,7.1422
BKT,05/03/2019,7.2000,7.1440,2120075,15261337.61,7.2000,7.2480,7.1300,7.1989
BKT,06/03/2019,7.1560,7.2000,3118964,22384711.26,7.1560,7.2440,7.1400,7.1661
BKT,07/03/2019,6.9380,7.1560,3622668,25387024.40,6.9380,7.2480,6.9160,7.0078
BKT,08/03/2019,6.8840,6.9380,1748553,12055550.55,6.8840,6.9400,6.8540,6.8941
BKT,11/03/2019,6.8840,6.8840,1403894,9654559.11,6.8840,6.9360,6.8300,6.8770
BKT,12/03/2019,6.8500,6.8840,2455195,16824194.85,6.8500,6.9180,6.7960,6.8473
BKT,13/03/2019,7.0140,6.8500,2774070,19397397.60,7.0140,7.0360,6.8500,6.9924
BKT,14/03/2019,6.9600,7.0140,8351527,58659203.71,6.9600,7.0980,6.9600,6.9991
BKT,15/03/2019,7.0040,6.9600,3092607,21635548.53,7.0040,7.0240,6.9500,6.9959
BKT,18/03/2019,7.1320,7.0040,2438689,17368239.78,7.1320,7.1700,7.0240,7.1217
BKT,19/03/2019,7.1560,7.1320,3729266,26695351.90,7.1560,7.2240,7.1260,7.1704
BKT,20/03/2019,7.0600,7.1560,1643609,11682005.04,7.0600,7.1940,7.0600,7.1075
BKT,21/03/2019,6.9640,7.0600,1652392,11516565.85,6.9640,7.0240,6.9340,6.9695
BKT,22/03/2019,6.9380,6.9640,3840133,26733174.64,6.9380,7.0320,6.9020,6.9426
BKT,25/03/2019,6.9640,6.9380,2490591,17346495.15,6.9640,7.0260,6.8900,6.9647
BKT,26/03/2019,6.7960,6.8660,3731814,25403448.65,6.7960,6.9120,6.7800,6.8218
BKT,27/03/2019,6.8480,6.7960,3537085,24225900.58,6.8480,6.9780,6.7580,6.8602
BKT,28/03/2019,6.7900,6.8480,1457598,9909972.17,6.7900,6.8460,6.7600,6.7988
BKT,29/03/2019,6.7900,6.7900,2198812,14910943.65,6.7900,6.8320,6.7380,6.7815
BKT,01/04/2019,7.0100,6.7900,2548682,17757714.90,7.0100,7.0320,6.8200,6.9674
BKT,02/04/2019,6.9720,7.0100,3381405,23625686.00,6.9720,7.0360,6.9420,6.9739
BKT,03/04/2019,7.0960,6.9720,2269401,16043356.52,7.0960,7.0960,7.0000,7.0694
BKT,04/04/2019,7.1500,7.0960,1879583,13415152.28,7.1500,7.2000,7.0320,7.1373
BKT,05/04/2019,7.1500,7.1500,1994164,14270912.45,7.1500,7.2200,7.0840,7.1563
BKT,08/04/2019,7.1020,7.1500,1050576,7465209.36,7.1020,7.1580,7.0700,7.1058
BKT,09/04/2019,7.0360,7.1020,3045246,21555594.95,7.0360,7.1540,7.0040,7.0644
BKT,10/04/2019,6.9760,7.0360,1867324,13112851.83,6.9760,7.1140,6.9660,7.0223
BKT,11/04/2019,7.0800,6.9760,1759544,12372337.35,7.0800,7.1020,6.9400,7.0316
BKT,12/04/2019,7.2520,7.0800,3418207,24491073.85,7.2520,7.2520,6.9920,7.2084
BKT,15/04/2019,7.2760,7.2520,2460718,17885499.31,7.2760,7.2860,7.2000,7.2674
BKT,16/04/2019,7.2900,7.2760,1676188,12216354.86,7.2900,7.3400,7.2220,7.2882
BKT,17/04/2019,7.3540,7.2900,1681942,12357960.95,7.3540,7.3960,7.2760,7.3474
BKT,18/04/2019,7.3460,7.3540,2170178,15893768.01,7.3460,7.3660,7.2380,7.3083
BKT,23/04/2019,7.1400,7.3460,2818178,20234925.24,7.1400,7.3460,7.1240,7.1816
BKT,24/04/2019,6.9960,7.1400,2049156,14432321.67,6.9960,7.1600,6.9860,7.0383
BKT,25/04/2019,7.0000,6.9960,2724343,19141496.65,7.0000,7.0780,6.9500,6.9909
BKT,26/04/2019,7.0580,7.0000,2459395,17258630.78,7.0580,7.0800,6.9600,7.0388
BKT,29/04/2019,7.1780,7.0580,2659041,18925825.83,7.1780,7.1780,7.0240,7.1358
BKT,30/04/2019,7.1180,7.1780,2421696,17266931.75,7.1180,7.1860,7.0960,7.1251
BKT,02/05/2019,7.0980,7.1180,1891101,13443882.42,7.0980,7.2000,7.0380,7.1090
BKT,03/05/2019,7.0240,7.0980,1914777,13485581.42,7.0240,7.1300,6.9820,7.0413
BKT,06/05/2019,6.9560,7.0240,1123150,7785792.80,6.9560,6.9700,6.8640,6.9321
BKT,07/05/2019,6.8400,6.9560,1465955,10080721.75,6.8400,6.9860,6.8300,6.8766
BKT,08/05/2019,6.9100,6.8400,1774967,12195704.68,6.9100,6.9120,6.7820,6.8709
BKT,09/05/2019,6.7720,6.9100,1595999,10857570.11,6.7720,6.8800,6.7700,6.8030
BKT,10/05/2019,6.7840,6.7720,1172171,7973758.64,6.7840,6.8740,6.7560,6.8026
BKT,13/05/2019,6.7240,6.7840,1364294,9190092.82,6.7240,6.7960,6.7060,6.7362
BKT,14/05/2019,6.6800,6.7240,1368978,9152826.78,6.6800,6.7620,6.6500,6.6859
BKT,15/05/2019,6.7040,6.6800,1340781,8943843.10,6.7040,6.7080,6.5900,6.6706
BKT,16/05/2019,6.7720,6.7040,2163467,14569392.50,6.7720,6.7720,6.6360,6.7339
BKT,17/05/2019,6.7480,6.7720,1346231,9066341.57,6.7480,6.7700,6.6960,6.7355
BKT,20/05/2019,6.7160,6.7480,1437866,9669618.02,6.7160,6.8100,6.6800,6.7201
BKT,21/05/2019,6.7260,6.7160,1144255,7685137.77,6.7260,6.7460,6.6620,6.7163
BKT,22/05/2019,6.5720,6.7260,2243258,14808754.50,6.5720,6.7100,6.5680,6.6014
BKT,23/05/2019,6.5540,6.5720,2241431,14664109.27,6.5540,6.5920,6.4920,6.5423
BKT,24/05/2019,6.5600,6.5540,1375976,9030198.76,6.5600,6.6040,6.5220,6.5628
BKT,27/05/2019,6.5880,6.5600,535573,3534896.93,6.5880,6.6500,6.5720,6.6002
BKT,28/05/2019,6.6240,6.5880,1999706,13214321.75,6.6240,6.6240,6.5100,6.6081
BKT,29/05/2019,6.5620,6.6240,2084279,13698521.57,6.5620,6.6120,6.5140,6.5613
BKT,30/05/2019,6.6180,6.5620,1125640,7446551.31,6.6180,6.6560,6.5800,6.6154
BKT,31/05/2019,6.4780,6.6180,1630093,10583387.42,6.4780,6.5800,6.4360,6.4925
BKT,03/06/2019,6.3780,6.4780,1977596,12619283.93,6.3780,6.4360,6.3220,6.3816
BKT,04/06/2019,6.4740,6.3780,2159362,13973344.11,6.4740,6.5100,6.3480,6.4711
BKT,05/06/2019,6.5000,6.4740,3002027,19471717.70,6.5000,6.5260,6.4220,6.4878
BKT,06/06/2019,6.3200,6.5000,3092320,19756198.17,6.3200,6.5860,6.3140,6.3894
BKT,07/06/2019,6.3540,6.3200,2840043,18047830.32,6.3540,6.4140,6.2940,6.3505
BKT,10/06/2019,6.4480,6.3540,3215243,20584814.39,6.4480,6.4560,6.3660,6.4356
BKT,11/06/2019,6.4320,6.4480,1956842,12607838.33,6.4320,6.4940,6.4020,6.4430
BKT,12/06/2019,6.3000,6.4320,2115161,13366745.25,6.3000,6.4240,6.2720,6.3195
BKT,13/06/2019,6.2480,6.3000,1845429,11572628.70,6.2480,6.3340,6.2340,6.2699
BKT,14/06/2019,6.1540,6.2480,2668849,16492723.09,6.1540,6.2240,6.1300,6.1631
BKT,17/06/2019,6.1540,6.1540,1569115,9690420.81,6.1540,6.2360,6.1540,6.1757
BKT,18/06/2019,6.0240,6.1540,6974684,42286018.96,6.0240,6.1520,5.9500,6.0289
BKT,19/06/2019,6.0400,6.0240,2829327,17102004.09,6.0400,6.1060,6.0160,6.0445
BKT,20/06/2019,5.9000,6.0400,3360276,19926158.39,5.9000,6.0940,5.8960,5.9299
BKT,21/06/2019,5.9500,5.9000,5427806,32306689.05,5.9500,6.0340,5.8820,5.9515
BKT,24/06/2019,5.9360,5.8840,2502485,14820892.50,5.9360,5.9800,5.8560,5.9232
BKT,25/06/2019,5.8620,5.9360,2589556,15184729.35,5.8620,5.9300,5.8240,5.8628
BKT,26/06/2019,5.8880,5.8620,3341264,19607793.71,5.8880,5.9480,5.8100,5.8826
BKT,27/06/2019,5.9860,5.8880,2216508,13218681.81,5.9860,6.0040,5.9160,5.9670
BKT,28/06/2019,6.0580,5.9860,8011745,48109589.88,6.0580,6.0580,5.9900,6.0348
BKT,01/07/2019,6.2240,6.0580,3381492,20987356.40,6.2240,6.2560,6.1000,6.2058
BKT,02/07/2019,6.1680,6.2240,2303499,14202694.67,6.1680,6.2600,6.1180,6.1656
BKT,03/07/2019,6.2820,6.1680,2272448,14149474.87,6.2820,6.2820,6.1000,6.2295
BKT,04/07/2019,6.3800,6.2820,2089627,13265432.28,6.3800,6.3920,6.2620,6.3482
BKT,05/07/2019,6.3940,6.3800,2715744,17354262.07,6.3940,6.4600,6.3100,6.3905
BKT,08/07/2019,6.3080,6.3940,2154900,13642374.48,6.3080,6.4160,6.2860,6.3309
BKT,09/07/2019,6.3080,6.3080,6953393,43945808.94,6.3080,6.3500,6.2700,6.3089
BKT,10/07/2019,6.3200,6.3080,2437586,15491008.93,6.3200,6.4040,6.3160,6.3546
BKT,11/07/2019,6.3700,6.3200,1358616,8629513.76,6.3700,6.3880,6.2980,6.3517
BKT,12/07/2019,6.4580,6.3700,2287034,14737403.54,6.4580,6.4620,6.3640,6.4439
BKT,15/07/2019,6.4360,6.4580,1822739,11767280.61,6.4360,6.5060,6.4360,6.4558
BKT,16/07/2019,6.5600,6.4360,3154288,20519034.26,6.5600,6.5760,6.4260,6.5306
BKT,17/07/2019,6.4760,6.5600,2360365,15319122.04,6.4760,6.5400,6.4740,6.4901
BKT,18/07/2019,6.4040,6.4760,3739281,23936591.05,6.4040,6.4580,6.3580,6.4100
BKT,19/07/2019,6.3660,6.4040,3617367,23129355.08,6.3660,6.4800,6.3580,6.3879
BKT,22/07/2019,6.1180,6.3660,3300395,20334184.08,6.1180,6.3900,6.0960,6.1619
BKT,23/07/2019,6.2900,6.1180,2804567,17517241.71,6.2900,6.2940,6.1060,6.2509
BKT,24/07/2019,6.2540,6.2900,2753868,17239827.42,6.2540,6.3020,6.2080,6.2575
BKT,25/07/2019,6.3460,6.2540,4110182,26094626.12,6.3460,6.4560,6.2580,6.3488
BKT,26/07/2019,6.1400,6.3460,3092661,19008273.98,6.1400,6.3080,6.0460,6.1463
BKT,29/07/2019,6.0620,6.1400,1586933,9665822.03,6.0620,6.1820,6.0560,6.0909
BKT,30/07/2019,5.8540,6.0620,4160114,24746083.12,5.8540,6.0740,5.8220,5.8871
BKT,31/07/2019,5.8680,5.8540,3847140,22702282.03,5.8680,5.9640,5.8660,5.8889
BKT,01/08/2019,5.9260,5.8680,1891922,11195756.63,5.9260,5.9620,5.8760,5.9180
BKT,02/08/2019,5.7980,5.9260,2290056,13339301.38,5.7980,5.8940,5.7540,5.8249
BKT,05/08/2019,5.8480,5.7980,1605025,9388743.55,5.8480,5.9280,5.7420,5.8496
BKT,06/08/2019,5.7660,5.8480,1340291,7774990.72,5.7660,5.8820,5.7660,5.8010
BKT,07/08/2019,5.7600,5.7660,2026896,11668387.33,5.7600,5.8200,5.6940,5.7570
BKT,08/08/2019,5.8160,5.7600,1964341,11357747.71,5.8160,5.8380,5.7120,5.7820
