Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
CABK,02/01/2019,3.1290,3.1640,12493309,38771630.81,3.1290,3.1500,3.0650,3.0983
CABK,03/01/2019,3.1270,3.1290,9456811,29668254.95,3.1270,3.1710,3.1070,3.1366
CABK,04/01/2019,3.2470,3.1270,11865877,38164253.42,3.2470,3.2520,3.1470,3.2177
CABK,07/01/2019,3.2660,3.2470,9318885,30312406.52,3.2660,3.2720,3.2160,3.2528
CABK,08/01/2019,3.2720,3.2660,14102027,46148011.89,3.2720,3.2940,3.2350,3.2722
CABK,09/01/2019,3.2460,3.2720,15373877,50411728.59,3.2460,3.3220,3.2360,3.2772
CABK,10/01/2019,3.2230,3.2460,11084807,35694010.75,3.2230,3.2470,3.1980,3.2201
CABK,11/01/2019,3.2490,3.2230,18473018,59788314.35,3.2490,3.2610,3.2040,3.2415
CABK,14/01/2019,3.2620,3.2490,9112277,29610541.35,3.2620,3.2790,3.2210,3.2495
CABK,15/01/2019,3.3050,3.2620,10202878,33563559.08,3.3050,3.3150,3.2500,3.2896
CABK,16/01/2019,3.3610,3.3050,22568325,75197531.31,3.3610,3.3630,3.2970,3.3425
CABK,17/01/2019,3.3130,3.3610,17191374,57202038.48,3.3130,3.3590,3.3030,3.3274
CABK,18/01/2019,3.3050,3.3130,21344243,70988829.61,3.3050,3.3750,3.3050,3.3250
CABK,21/01/2019,3.2890,3.3050,9531107,31314887.15,3.2890,3.3120,3.2640,3.2857
CABK,22/01/2019,3.2490,3.2890,18686568,60700094.72,3.2490,3.2740,3.2290,3.2476
CABK,23/01/2019,3.3740,3.2490,14805421,49384793.48,3.3740,3.3800,3.2170,3.3362
CABK,24/01/2019,3.3120,3.3740,16242541,54277583.00,3.3120,3.4000,3.3000,3.3402
CABK,25/01/2019,3.4000,3.3120,12786388,43182825.46,3.4000,3.4000,3.3270,3.3772
CABK,28/01/2019,3.3280,3.4000,11133034,37180269.05,3.3280,3.3940,3.3040,3.3401
CABK,29/01/2019,3.3120,3.3280,15193279,50368753.31,3.3120,3.3410,3.2920,3.3152
CABK,30/01/2019,3.3560,3.3120,16294019,54262777.41,3.3560,3.3560,3.3120,3.3430
CABK,31/01/2019,3.2980,3.3560,21171478,70237287.02,3.2980,3.3850,3.2710,3.3110
CABK,01/02/2019,3.0600,3.2980,59405175,182680187.68,3.0600,3.1920,3.0250,3.0749
CABK,04/02/2019,2.9210,3.0600,50181094,148622737.91,2.9210,3.0720,2.8950,2.9552
CABK,05/02/2019,2.9360,2.9210,24860846,72992386.48,2.9360,2.9730,2.8860,2.9364
