Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
CLNX,02/01/2019,22.6000,22.3900,461951,10387317.71,22.6000,22.6800,21.9300,22.4858
CLNX,03/01/2019,22.8500,22.6000,360833,8219937.18,22.8500,22.9400,22.4200,22.7804
CLNX,04/01/2019,23.0900,22.8500,504631,11631415.38,23.0900,23.1800,22.8600,23.0519
CLNX,07/01/2019,23.7500,23.0900,1880647,43846170.30,23.7500,23.7600,23.0900,23.6076
CLNX,08/01/2019,23.7000,23.7500,652960,15448618.03,23.7000,23.8400,23.4100,23.6614
CLNX,09/01/2019,23.7100,23.7000,408801,9682429.29,23.7100,23.9000,23.4900,23.6849
CLNX,10/01/2019,23.8500,23.7100,256986,6113229.75,23.8500,23.8500,23.5800,23.7882
CLNX,11/01/2019,23.9800,23.8500,304165,7292550.20,23.9800,24.1200,23.7600,23.9756
CLNX,14/01/2019,23.8000,23.9800,442650,10528798.35,23.8000,23.9600,23.6700,23.8144
CLNX,15/01/2019,23.4300,23.8000,622061,14534673.60,23.4300,24.0200,22.8700,23.3654
CLNX,16/01/2019,23.2800,23.4300,609820,14224295.93,23.2800,23.5900,23.1900,23.3161
CLNX,17/01/2019,23.6300,23.2800,360761,8515541.97,23.6300,23.7800,23.2300,23.6044
CLNX,18/01/2019,24.1900,23.6300,714432,17069821.21,24.1900,24.2000,23.5500,24.0949
CLNX,21/01/2019,24.2500,24.1900,239296,5791689.89,24.2500,24.2600,24.0300,24.2030
CLNX,22/01/2019,24.4200,24.2500,493218,12003982.39,24.4200,24.4900,24.0700,24.3727
CLNX,23/01/2019,24.6400,24.4200,1034965,25568404.61,24.6400,24.8800,24.3000,24.6834
CLNX,24/01/2019,24.5400,24.6400,451462,11079913.91,24.5400,24.8100,24.3100,24.5365
CLNX,25/01/2019,24.4200,24.5400,363218,8881089.97,24.4200,24.7400,24.2900,24.4511
CLNX,28/01/2019,24.1300,24.4200,586242,14128926.19,24.1300,24.4900,23.8000,24.1008
CLNX,29/01/2019,24.0600,24.1300,419024,10108082.57,24.0600,24.3200,24.0600,24.1229
CLNX,30/01/2019,24.0400,24.0600,353476,8471705.85,24.0400,24.0600,23.7300,23.9686
CLNX,31/01/2019,24.5900,24.0400,927908,22866663.56,24.5900,25.2400,24.1600,24.6772
CLNX,01/02/2019,24.6200,24.5900,461238,11377189.52,24.6200,25.0900,24.4900,24.6666
CLNX,04/02/2019,24.6000,24.6200,600700,14739647.86,24.6000,24.8700,24.2500,24.5119
CLNX,05/02/2019,24.7300,24.6000,347766,8593722.51,24.7300,24.8200,24.5500,24.7112
CLNX,06/02/2019,24.7900,24.7300,334809,8314245.81,24.7900,25.0500,24.7100,24.8328
CLNX,07/02/2019,24.8000,24.7900,512718,12670230.08,24.8000,24.8300,24.6100,24.7421
CLNX,08/02/2019,24.8000,24.8000,485223,11999072.64,24.8000,24.8100,24.4600,24.7297
CLNX,11/02/2019,24.8400,24.8000,408362,10170403.84,24.8400,25.0600,24.8000,24.8993
CLNX,12/02/2019,24.5700,24.8400,475812,11707289.02,24.5700,24.9900,24.4100,24.6049
CLNX,13/02/2019,24.9800,24.5700,399909,9983291.25,24.9800,25.1500,24.5400,24.9634
CLNX,14/02/2019,24.9500,24.9800,224148,5591493.24,24.9500,25.0900,24.8300,24.9455
CLNX,15/02/2019,25.0000,24.9500,467490,11699733.37,25.0000,25.2500,24.8400,25.0293
CLNX,18/02/2019,24.9800,25.0000,383467,9613499.67,24.9800,25.3600,24.9600,25.0682
CLNX,19/02/2019,24.7000,24.9800,426881,10550774.32,24.7000,24.9500,24.5400,24.7160
CLNX,20/02/2019,24.6100,24.7000,473933,11690647.23,24.6100,24.9200,24.4400,24.6673
CLNX,21/02/2019,24.6200,24.6100,400772,9882025.70,24.6200,24.9100,24.4900,24.6574
CLNX,22/02/2019,24.4800,24.6200,520052,12739059.76,24.4800,24.7300,24.2000,24.4822
