Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
ENG,02/01/2019,24.0300,23.6100,638805,15249184.62,24.0300,24.1000,23.2400,23.8714
ENG,03/01/2019,24.3300,24.0300,960210,23261198.03,24.3300,24.4700,23.9000,24.2251
ENG,04/01/2019,24.3800,24.3300,722961,17642998.94,24.3800,24.5300,24.2800,24.4038
ENG,07/01/2019,24.3600,24.3800,651678,15877750.01,24.3600,24.5000,24.1600,24.3644
ENG,08/01/2019,24.7000,24.3600,1554724,38320493.59,24.7000,24.7100,24.3500,24.6478
ENG,09/01/2019,24.5900,24.7000,1024127,25203534.61,24.5900,24.8300,24.4400,24.6025
ENG,10/01/2019,24.9900,24.5900,1090719,27158882.61,24.9900,24.9900,24.5400,24.8990
ENG,11/01/2019,24.9500,24.9900,940406,23505856.81,24.9500,25.2800,24.7700,24.9954
ENG,14/01/2019,24.9400,24.9500,681576,16995041.87,24.9400,25.1200,24.7200,24.9343
ENG,15/01/2019,25.1800,24.9400,780427,19611490.88,25.1800,25.2300,24.9200,25.1366
ENG,16/01/2019,24.7500,25.1800,1044878,25873569.84,24.7500,25.0400,24.5500,24.7623
ENG,17/01/2019,24.8100,24.7500,808913,20076744.74,24.8100,24.9500,24.6000,24.8194
ENG,18/01/2019,25.0200,24.8100,754287,18866224.83,25.0200,25.1200,24.8900,25.0119
ENG,21/01/2019,24.8700,25.0200,503177,12517425.48,24.8700,25.1000,24.7200,24.8768
ENG,22/01/2019,24.7500,24.8700,1333872,33187236.04,24.7500,25.1000,24.7500,24.8325
ENG,23/01/2019,25.0100,24.7500,673940,16810213.06,25.0100,25.0800,24.6700,24.9465
ENG,24/01/2019,25.1500,25.0100,875767,21939713.84,25.1500,25.1500,24.8500,25.0549
ENG,25/01/2019,25.0400,25.1500,801576,20100118.21,25.0400,25.3300,24.9000,25.0757
ENG,28/01/2019,24.9000,25.0400,1115596,27729751.45,24.9000,25.0200,24.7700,24.8928
ENG,29/01/2019,25.2500,24.9000,1040991,26249137.02,25.2500,25.3300,24.8700,25.2155
ENG,30/01/2019,25.3800,25.2500,562536,14258363.26,25.3800,25.3800,25.2000,25.3466
ENG,31/01/2019,25.4300,25.3800,1704441,43289515.54,25.4300,25.4800,25.2100,25.3973
ENG,01/02/2019,25.4000,25.4300,736702,18680460.62,25.4000,25.4500,25.1900,25.3569
ENG,04/02/2019,25.3900,25.4000,822119,20832957.92,25.3900,25.4800,25.0700,25.3406
ENG,05/02/2019,25.5800,25.3900,922704,23548754.30,25.5800,25.5800,25.2100,25.5215
ENG,06/02/2019,25.3500,25.5800,710711,18025848.10,25.3500,25.5700,25.2300,25.3631
ENG,07/02/2019,25.3500,25.3500,770874,19516614.80,25.3500,25.4500,25.1600,25.3231
ENG,08/02/2019,25.1400,25.3500,955870,24051032.76,25.1400,25.3200,25.1400,25.1614
ENG,11/02/2019,25.1600,25.1400,958388,24079307.31,25.1600,25.3100,24.9200,25.1285
ENG,12/02/2019,25.4900,25.1600,799318,20325670.95,25.4900,25.4900,25.2200,25.4339
ENG,13/02/2019,25.1900,25.4900,1313020,33203681.33,25.1900,25.5800,25.1900,25.2821
ENG,14/02/2019,24.9800,25.1900,997675,24961621.73,24.9800,25.4000,24.8700,25.0198
ENG,15/02/2019,24.7400,24.9800,1484449,36690272.95,24.7400,24.9700,24.5500,24.7327
ENG,18/02/2019,24.8400,24.7400,1397186,34625505.83,24.8400,24.9300,24.6800,24.8071
ENG,19/02/2019,24.6600,24.8400,1008357,24943859.16,24.6600,24.9800,24.6400,24.7371
ENG,20/02/2019,24.6000,24.6600,1365729,33689103.65,24.6000,24.9600,24.5400,24.6654
ENG,21/02/2019,25.0700,24.6000,1018963,25424228.07,25.0700,25.0700,24.6600,24.9511
ENG,22/02/2019,25.2700,25.0700,881084,22215973.71,25.2700,25.2700,24.8300,25.2144
ENG,25/02/2019,25.2000,25.2700,1323028,33352792.38,25.2000,25.3500,25.0200,25.1811
ENG,26/02/2019,25.1600,25.2000,785603,19775764.75,25.1600,25.3300,25.0900,25.1727
ENG,27/02/2019,24.7900,25.1600,1078724,26735292.13,24.7900,25.1700,24.6200,24.7846
ENG,28/02/2019,25.0500,24.7900,1249782,31296749.92,25.0500,25.2100,24.8000,25.0418
ENG,01/03/2019,24.9400,25.0500,1105816,27651426.99,24.9400,25.2400,24.9400,25.0043
ENG,04/03/2019,24.8900,24.9400,913183,22714509.02,24.8900,25.0500,24.6800,24.8437
ENG,05/03/2019,24.6400,24.8900,908455,22424053.15,24.6400,24.9200,24.6100,24.6820
ENG,06/03/2019,24.8500,24.6400,992979,24620041.48,24.8500,24.9200,24.4700,24.7931
ENG,07/03/2019,25.5400,24.8500,1426078,36282003.15,25.5400,25.6600,24.9300,25.4418
ENG,08/03/2019,25.7500,25.5400,1182958,30438200.80,25.7500,25.8900,25.3100,25.7287
ENG,11/03/2019,25.5800,25.7500,1395710,35764597.68,25.5800,25.7700,25.3700,25.5670
ENG,12/03/2019,25.4600,25.5800,908849,23143677.90,25.4600,25.6300,25.2800,25.4483
ENG,13/03/2019,25.6000,25.4600,1162739,29700832.22,25.6000,25.7200,25.4000,25.5957
ENG,14/03/2019,25.7500,25.6000,1077026,27758241.62,25.7500,25.9300,25.6400,25.7719
ENG,15/03/2019,26.0200,25.7500,2366992,61444862.47,26.0200,26.0300,25.6000,25.9859
ENG,18/03/2019,26.1800,26.0200,900357,23547738.89,26.1800,26.2500,25.8500,26.1538
ENG,19/03/2019,26.5100,26.1800,822256,21758776.27,26.5100,26.5700,26.1800,26.4685
ENG,20/03/2019,26.7900,26.5100,2759133,73381023.53,26.7900,26.8700,26.3900,26.7193
ENG,21/03/2019,27.0800,26.7900,1106022,29905947.34,27.0800,27.2200,26.7900,27.0392
ENG,22/03/2019,26.9000,27.0800,1267629,34148993.90,26.9000,27.1500,26.7900,26.9261
ENG,25/03/2019,26.5400,26.9000,1189255,31636561.61,26.5400,27.0000,26.3500,26.6021
ENG,26/03/2019,26.3100,26.5400,790370,20822364.29,26.3100,26.6500,26.1800,26.3451
ENG,27/03/2019,26.1000,26.3100,1065687,27729052.62,26.1000,26.1300,25.8100,26.0186
ENG,28/03/2019,25.9900,26.1000,1147628,29877918.07,25.9900,26.2600,25.8900,26.0137
ENG,29/03/2019,25.9400,25.9900,789899,20528741.35,25.9400,26.2500,25.9200,25.9891
ENG,01/04/2019,25.6000,25.9400,971291,24928588.09,25.6000,26.0400,25.6000,25.6654
ENG,02/04/2019,25.8200,25.6000,1009489,26018130.39,25.8200,25.8400,25.5700,25.7746
ENG,03/04/2019,25.9200,25.8200,931644,24086931.83,25.9200,25.9200,25.6000,25.8536
ENG,04/04/2019,25.9200,25.9200,824287,21382223.92,25.9200,26.0500,25.8300,25.9403
ENG,05/04/2019,25.7600,25.9200,1400943,36023625.62,25.7600,26.0000,25.3900,25.7138
ENG,08/04/2019,25.8100,25.7600,707087,18253050.64,25.8100,25.9700,25.6900,25.8184
ENG,09/04/2019,25.8300,25.8100,958742,24733096.59,25.8300,25.9300,25.6600,25.7935
ENG,10/04/2019,25.8400,25.8300,879602,22757647.66,25.8400,26.0800,25.7700,25.8727
ENG,11/04/2019,25.5000,25.8400,780259,19955731.30,25.5000,25.8700,25.5000,25.5758
ENG,12/04/2019,25.2800,25.5000,896902,22685212.15,25.2800,25.7200,25.1000,25.2910
ENG,15/04/2019,25.3500,25.2800,657840,16675295.14,25.3500,25.4500,25.2500,25.3486
ENG,16/04/2019,24.9400,25.3500,731591,18312802.31,24.9400,25.4300,24.9400,25.0315
ENG,17/04/2019,24.9800,24.9400,1142294,28461675.47,24.9800,25.0100,24.6700,24.9061
ENG,18/04/2019,24.9500,24.9800,549385,13716528.80,24.9500,25.1900,24.8700,24.9639
ENG,23/04/2019,24.8200,24.9500,749203,18622412.59,24.8200,25.1800,24.7500,24.8563
ENG,24/04/2019,24.9500,24.8200,923219,22985340.85,24.9500,25.0100,24.6000,24.8970
ENG,25/04/2019,25.3300,24.9500,1045753,26425356.78,25.3300,25.3700,24.8600,25.2686
ENG,26/04/2019,25.0500,25.3300,656095,16446791.22,25.0500,25.3900,24.8700,25.0677
ENG,29/04/2019,25.0400,25.0500,725283,18116487.47,25.0400,25.0800,24.8100,24.9801
ENG,30/04/2019,25.4000,25.0400,1199479,30415226.22,25.4000,25.5200,24.9100,25.3570
ENG,02/05/2019,24.8000,25.4000,1006787,25100087.26,24.8000,25.3600,24.8000,24.9096
ENG,03/05/2019,25.0700,24.8000,672848,16849307.88,25.0700,25.1200,24.7600,25.0418
ENG,06/05/2019,24.9500,25.0700,381374,9516402.57,24.9500,25.0900,24.8100,24.9529
ENG,07/05/2019,24.9200,24.9500,831108,20737644.89,24.9200,25.2300,24.8100,24.9518
ENG,08/05/2019,24.6200,24.9200,778309,19217177.81,24.6200,25.0500,24.6200,24.6909
ENG,09/05/2019,24.8300,24.6200,833200,20669560.57,24.8300,24.9500,24.5300,24.8070
ENG,10/05/2019,25.3400,24.8300,833378,21049298.40,25.3400,25.3500,24.7500,25.2577
ENG,13/05/2019,25.3400,25.3400,1215810,30798828.98,25.3400,25.4700,25.0300,25.3370
ENG,14/05/2019,24.8600,25.3400,1602514,40076312.57,24.8600,25.2600,24.7400,24.8815
ENG,15/05/2019,25.1200,24.8600,920009,22981328.48,25.1200,25.1400,24.7400,25.0321
