Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
GRF,02/01/2019,22.7300,22.9000,488978,11054420.17,22.7300,22.7300,22.1800,22.6072
GRF,03/01/2019,22.8100,22.7300,3948479,89724786.50,22.8100,22.9300,22.5000,22.7427
GRF,04/01/2019,23.5700,22.8100,853831,20048306.34,23.5700,23.8600,22.8100,23.4804
GRF,07/01/2019,23.5500,23.5700,387963,9119018.77,23.5500,23.6700,23.3100,23.5049
GRF,08/01/2019,23.9000,23.5500,755013,18049633.73,23.9000,24.1600,23.5900,23.9063
GRF,09/01/2019,24.2300,23.9000,850293,20575291.96,24.2300,24.3600,24.0500,24.2063
GRF,10/01/2019,24.0700,24.2300,2018941,48394093.99,24.0700,24.1800,23.8000,24.0043
GRF,11/01/2019,24.3800,24.0700,951155,23103185.03,24.3800,24.6000,24.0200,24.3982
GRF,14/01/2019,23.7900,24.3800,624210,14854555.60,23.7900,24.3200,23.5300,23.7974
GRF,15/01/2019,23.9200,23.7900,2094658,49976257.64,23.9200,24.0400,23.5900,23.8568
GRF,16/01/2019,24.2000,23.9200,538879,13004350.91,24.2000,24.2400,23.8100,24.1322
GRF,17/01/2019,24.3900,24.2000,487463,11885862.71,24.3900,24.4900,24.0000,24.3831
GRF,18/01/2019,24.4400,24.3900,729661,17857624.53,24.4400,24.6900,24.3100,24.4729
GRF,21/01/2019,24.4500,24.4400,1411636,34612820.42,24.4500,24.7200,24.4200,24.5186
GRF,22/01/2019,24.2600,24.4500,2037437,48738436.01,24.2600,24.5800,24.0700,24.2610
GRF,23/01/2019,24.2500,24.2600,651016,15843844.21,24.2500,24.6700,24.1500,24.3336
GRF,24/01/2019,24.3100,24.2500,823825,20063933.01,24.3100,24.7200,24.2000,24.3667
GRF,25/01/2019,23.7900,24.3100,1569178,37945493.12,23.7900,24.4000,23.7900,23.9550
GRF,28/01/2019,23.2600,23.7900,821694,19207390.30,23.2600,23.7900,23.1200,23.3374
GRF,29/01/2019,23.1900,23.2600,642197,14909189.79,23.1900,23.4700,22.8900,23.2141
GRF,30/01/2019,23.0100,23.1900,555428,12774492.96,23.0100,23.2800,22.9000,22.9994
GRF,31/01/2019,22.7500,23.0100,1194126,27250881.24,22.7500,23.2700,22.6600,22.8036
GRF,01/02/2019,22.9900,22.7500,1015418,23300819.62,22.9900,23.0900,22.8000,22.9470
GRF,04/02/2019,23.1600,22.9900,968981,22352642.72,23.1600,23.1600,22.8600,23.0950
GRF,05/02/2019,23.6400,23.1600,756041,17820026.68,23.6400,23.7300,23.1200,23.5720
GRF,06/02/2019,23.3500,23.6400,449225,10524741.54,23.3500,23.7500,23.3500,23.4287
GRF,07/02/2019,23.1800,23.3500,757727,17676057.52,23.1800,23.6100,23.1800,23.3082
GRF,08/02/2019,22.5000,23.1800,1581402,35405484.95,22.5000,23.1000,21.8300,22.3892
GRF,11/02/2019,22.7900,22.5000,515015,11708672.04,22.7900,22.8700,22.4400,22.7346
GRF,12/02/2019,22.7500,22.7900,987870,22567564.59,22.7500,23.1000,22.7300,22.8221
GRF,13/02/2019,23.0800,22.7500,623430,14414175.55,23.0800,23.3700,22.8000,23.1208
GRF,14/02/2019,23.2600,23.0800,895118,20860018.69,23.2600,23.4500,23.1100,23.2927
GRF,15/02/2019,23.8000,23.2600,459344,10883558.19,23.8000,23.8100,23.1400,23.6933
GRF,18/02/2019,23.8900,23.8000,531328,12714816.26,23.8900,24.1400,23.8100,23.9303
GRF,19/02/2019,23.8300,23.8900,803776,19211895.58,23.8300,24.0000,23.7100,23.8496
GRF,20/02/2019,23.8300,23.8300,417111,9963032.52,23.8300,24.0900,23.8200,23.8858
GRF,21/02/2019,23.5200,23.8300,499415,11758552.90,23.5200,23.8200,23.4000,23.5447
GRF,22/02/2019,23.2400,23.5200,473031,11036901.99,23.2400,23.6800,23.2400,23.3175
GRF,25/02/2019,23.0500,23.2400,887108,20482809.31,23.0500,23.3800,23.0500,23.0894
GRF,26/02/2019,23.7000,23.0500,654904,15453324.44,23.7000,23.7000,23.0400,23.5932
