Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
IBE,02/01/2019,6.9980,7.0180,17518650,122175777.39,6.9980,7.0320,6.8640,6.9813
IBE,03/01/2019,7.0100,6.9980,24470524,170972468.91,7.0100,7.0680,6.9440,7.0023
IBE,04/01/2019,7.0620,7.0100,15186132,107328136.96,7.0620,7.1280,7.0240,7.0692
IBE,07/01/2019,7.1160,7.0620,14151358,100503624.66,7.1160,7.1220,7.0520,7.1020
IBE,08/01/2019,7.0900,7.1160,19513524,136047457.13,7.0900,7.1500,7.0760,7.1071
IBE,09/01/2019,6.8640,6.9360,19669304,135282044.83,6.8640,6.9660,6.8540,6.8776
IBE,10/01/2019,6.9020,6.8640,16866776,116186571.96,6.9020,6.9020,6.8600,6.8888
IBE,11/01/2019,6.9100,6.9020,19381512,133533698.67,6.9100,6.9340,6.8440,6.8943
IBE,14/01/2019,6.8780,6.9100,23557285,161694540.59,6.8780,6.9300,6.8320,6.8713
IBE,15/01/2019,6.9240,6.8780,31646567,218669200.80,6.9240,6.9520,6.8620,6.9150
IBE,16/01/2019,6.9180,6.9240,18776758,129835724.90,6.9180,6.9460,6.8860,6.9140
IBE,17/01/2019,6.9500,6.9180,14114538,98078003.19,6.9500,6.9660,6.8900,6.9487
IBE,18/01/2019,7.0640,6.9500,43590135,305477209.38,7.0640,7.0760,6.9640,7.0464
IBE,21/01/2019,7.0100,7.0640,16372654,114984617.01,7.0100,7.0540,6.9780,7.0147
IBE,22/01/2019,7.0480,7.0100,18193906,127818788.56,7.0480,7.0480,6.9740,7.0340
IBE,23/01/2019,7.0700,7.0480,13284127,93893534.45,7.0700,7.0940,7.0120,7.0675
IBE,24/01/2019,7.1140,7.0700,21520582,152401432.80,7.1140,7.1140,7.0320,7.0861
IBE,25/01/2019,7.0720,7.1140,18046695,128470007.66,7.0720,7.1940,7.0720,7.1094
IBE,28/01/2019,7.0680,7.0720,10051075,70960983.12,7.0680,7.0920,7.0180,7.0611
IBE,29/01/2019,7.1400,7.0680,12521379,89331032.12,7.1400,7.1660,7.0700,7.1342
IBE,30/01/2019,7.1080,7.1400,15750946,111876056.61,7.1080,7.1460,7.0740,7.1065
IBE,31/01/2019,7.2000,7.1080,17942759,128833361.73,7.2000,7.2000,7.1140,7.1838
IBE,01/02/2019,7.1640,7.2000,14597614,104494686.91,7.1640,7.2420,7.1000,7.1593
IBE,04/02/2019,7.1920,7.1640,8994917,64517303.00,7.1920,7.1920,7.1200,7.1726
IBE,05/02/2019,7.2340,7.1920,20642476,148774561.38,7.2340,7.2340,7.1340,7.2150
IBE,06/02/2019,7.2440,7.2340,9375185,67905395.62,7.2440,7.2700,7.2020,7.2431
IBE,07/02/2019,7.2400,7.2440,11247951,81494521.38,7.2400,7.2700,7.2140,7.2446
