Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
ITX,02/01/2019,22.4300,22.3500,3870946,85974005.80,22.4300,22.5100,21.8500,22.2214
ITX,03/01/2019,22.1100,22.4300,8598926,191491210.06,22.1100,22.4200,22.1100,22.2029
ITX,04/01/2019,22.8900,22.1100,4557756,103744079.63,22.8900,22.9600,22.3100,22.7725
ITX,07/01/2019,23.0700,22.8900,4841696,111413688.69,23.0700,23.0800,22.6900,23.0075
ITX,08/01/2019,23.5700,23.0700,4516259,106309148.39,23.5700,23.9500,23.1100,23.5869
ITX,09/01/2019,23.8400,23.5700,3757171,89538033.05,23.8400,24.0400,23.6900,23.8339
ITX,10/01/2019,23.5100,23.8400,2476402,58422761.21,23.5100,23.8400,23.4400,23.5908
ITX,11/01/2019,23.4500,23.5100,2786182,65541454.68,23.4500,23.7300,23.3800,23.5111
ITX,14/01/2019,23.2100,23.4500,2560776,59499193.14,23.2100,23.4500,23.0500,23.2141
ITX,15/01/2019,23.3400,23.2100,3681199,85922021.53,23.3400,23.5400,23.1200,23.3257
ITX,16/01/2019,23.0800,23.3400,3116390,72316943.42,23.0800,23.5300,23.0800,23.2052
ITX,17/01/2019,23.3600,23.0800,2383069,55581283.58,23.3600,23.3900,23.0800,23.3234
ITX,18/01/2019,23.8300,23.3600,3595914,85793526.41,23.8300,23.9100,23.3700,23.7339
ITX,21/01/2019,23.9100,23.8300,2130514,50796546.89,23.9100,24.1100,23.6800,23.8710
ITX,22/01/2019,23.9800,23.9100,3727104,89070139.16,23.9800,24.0800,23.7700,23.9584
ITX,23/01/2019,24.4000,23.9800,2632197,64027005.76,24.4000,24.4300,23.8800,24.3315
ITX,24/01/2019,24.4500,24.4000,2908737,71331364.03,24.4500,24.7700,24.3000,24.5139
ITX,25/01/2019,24.1500,24.4500,3513677,85392983.89,24.1500,24.6400,24.1500,24.2839
ITX,28/01/2019,23.6200,24.1500,3506762,82050648.94,23.6200,24.2000,23.5100,23.7354
ITX,29/01/2019,24.0200,23.6200,3328033,79869041.87,24.0200,24.2200,23.6100,24.0349
ITX,30/01/2019,24.1100,24.0200,4642552,112130615.46,24.1100,24.2400,23.9800,24.1127
ITX,31/01/2019,24.3500,24.1100,3158511,76622324.25,24.3500,24.3500,23.9800,24.2640
ITX,01/02/2019,24.5100,24.3500,2305337,56339846.91,24.5100,24.5500,24.2200,24.4379
ITX,04/02/2019,24.3100,24.5100,2811334,68217622.80,24.3100,24.6000,23.9800,24.2666
ITX,05/02/2019,25.0400,24.3100,3412713,85045554.16,25.0400,25.1500,24.2100,24.9273
ITX,06/02/2019,24.9100,25.0400,2046238,51055046.20,24.9100,25.1300,24.8200,24.9481
ITX,07/02/2019,24.4800,24.9100,3933147,97003837.55,24.4800,25.0100,24.4800,24.6093
ITX,08/02/2019,24.1300,24.4800,3024087,73243179.30,24.1300,24.4600,24.0300,24.1766
ITX,11/02/2019,24.5500,24.1300,1977995,48389493.05,24.5500,24.5500,24.1700,24.4787
ITX,12/02/2019,24.9700,24.5500,3625246,90372626.04,24.9700,25.1100,24.6100,24.9406
ITX,13/02/2019,24.9200,24.9700,4108763,102601132.65,24.9200,25.0800,24.8700,24.9425
ITX,14/02/2019,24.8200,24.9200,4730077,118108056.64,24.8200,25.1600,24.8200,24.8917
ITX,15/02/2019,25.5900,24.8200,4511509,114179643.69,25.5900,25.6000,24.6400,25.4237
ITX,18/02/2019,25.6400,25.5900,3638935,93191718.63,25.6400,25.8300,25.2700,25.6315
ITX,19/02/2019,25.7700,25.6400,3368054,86851769.52,25.7700,25.8800,25.5100,25.7485
ITX,20/02/2019,25.4800,25.7700,3252980,83343893.59,25.4800,25.8900,25.4500,25.5972
ITX,21/02/2019,25.4300,25.4800,5971098,151746292.81,25.4300,25.5800,25.2300,25.4061
ITX,22/02/2019,25.5300,25.4300,2252792,57497802.44,25.5300,25.6400,25.3700,25.5247
ITX,25/02/2019,25.4900,25.5300,3089300,78791530.23,25.4900,25.8100,25.2900,25.5053
ITX,26/02/2019,26.2300,25.4900,3462443,90321485.08,26.2300,26.2900,25.4900,26.0984
ITX,27/02/2019,26.0200,26.2300,3094072,80489696.40,26.0200,26.2200,25.8900,26.0161
ITX,28/02/2019,26.5400,26.0200,3276999,86619650.97,26.5400,26.6300,25.9000,26.4372
ITX,01/03/2019,26.7500,26.5400,3064517,81987365.33,26.7500,26.9400,26.5300,26.7672
ITX,04/03/2019,26.8600,26.7500,2431109,65216561.01,26.8600,27.0000,26.5700,26.8346
ITX,05/03/2019,26.7900,26.8600,3392440,90764724.82,26.7900,26.9300,26.4600,26.7335
ITX,06/03/2019,26.9100,26.7900,3418257,91787716.21,26.9100,27.0700,26.6400,26.9002
