Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
IDR,02/01/2019,8.1250,8.2350,554146,4504780.53,8.1250,8.2100,8.0000,8.1292
IDR,03/01/2019,8.0000,8.1250,518359,4154868.74,8.0000,8.1350,7.9200,8.0154
IDR,04/01/2019,8.2050,8.0000,539367,4389231.91,8.2050,8.2400,8.0400,8.1377
IDR,07/01/2019,8.0500,8.2050,776378,6226567.10,8.0500,8.2250,7.8900,8.0200
IDR,08/01/2019,8.1850,8.0500,547992,4480941.25,8.1850,8.2650,8.0550,8.1770
IDR,09/01/2019,8.5800,8.1850,882949,7544821.85,8.5800,8.7000,8.2500,8.5442
IDR,10/01/2019,8.5350,8.5800,351675,3001337.82,8.5350,8.5900,8.4800,8.5344
IDR,11/01/2019,8.4800,8.5350,318789,2707001.85,8.4800,8.5850,8.4250,8.4915
IDR,14/01/2019,8.2950,8.4800,412988,3434630.64,8.2950,8.5000,8.2450,8.3229
IDR,15/01/2019,8.3100,8.2950,311297,2586252.42,8.3100,8.4200,8.2500,8.3080
IDR,16/01/2019,8.5000,8.3100,415956,3534841.94,8.5000,8.5700,8.3600,8.4951
IDR,17/01/2019,8.5750,8.5000,312950,2683403.19,8.5750,8.6800,8.4200,8.5745
IDR,18/01/2019,8.7800,8.5750,461989,4030830.84,8.7800,8.7900,8.6150,8.7249
IDR,21/01/2019,8.8050,8.7800,259179,2274940.12,8.8050,8.8100,8.7150,8.7775
IDR,22/01/2019,8.7650,8.8050,288035,2524823.27,8.7650,8.8350,8.7200,8.7657
IDR,23/01/2019,8.8900,8.7650,352629,3141163.04,8.8900,9.0050,8.6800,8.9078
IDR,24/01/2019,9.0000,8.8900,403375,3614762.78,9.0000,9.0550,8.8550,8.9659
IDR,25/01/2019,9.1200,9.0000,524044,4775069.58,9.1200,9.1700,9.0150,9.1108
IDR,28/01/2019,9.0600,9.1200,352980,3215154.93,9.0600,9.2500,9.0000,9.1086
