Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
COL,02/01/2019,8.0200,8.1350,717693,5742252.21,8.0200,8.0650,7.8850,8.0010
COL,03/01/2019,8.0400,8.0200,704526,5663917.70,8.0400,8.0850,7.9900,8.0393
COL,04/01/2019,8.1750,8.0400,636896,5190509.23,8.1750,8.1850,8.0400,8.1497
COL,07/01/2019,8.2950,8.1750,690552,5703337.61,8.2950,8.3050,8.1400,8.2591
COL,08/01/2019,8.4650,8.2950,850111,7202201.54,8.4650,8.5400,8.2550,8.4721
COL,09/01/2019,8.4200,8.4650,756322,6370326.55,8.4200,8.5400,8.3350,8.4228
COL,10/01/2019,8.4700,8.4200,1026340,8742648.42,8.4700,8.6150,8.4100,8.5038
COL,11/01/2019,8.5950,8.4700,1771328,15127929.34,8.5950,8.6000,8.4750,8.5799
COL,14/01/2019,8.5950,8.5950,1614913,13802710.10,8.5950,8.6350,8.5150,8.5909
COL,15/01/2019,8.6100,8.5950,829402,7147335.88,8.6100,8.7000,8.5500,8.6175
COL,16/01/2019,8.7050,8.6100,767539,6669904.53,8.7050,8.7400,8.5450,8.6900
COL,17/01/2019,8.8550,8.7050,966948,8534495.96,8.8550,8.8700,8.6500,8.8262
COL,18/01/2019,8.9200,8.8550,736965,6571986.39,8.9200,8.9650,8.8550,8.9176
COL,21/01/2019,8.8550,8.9200,509136,4511480.46,8.8550,8.9600,8.8050,8.8636
COL,22/01/2019,8.8950,8.8550,1285700,11492378.56,8.8950,8.9900,8.8400,8.9214
COL,23/01/2019,9.0100,8.8950,1014523,9128657.89,9.0100,9.0250,8.8400,8.9979
COL,24/01/2019,8.9500,9.0100,818427,7334676.70,8.9500,9.0300,8.8800,8.9594
COL,25/01/2019,8.8650,8.9500,981445,8681569.74,8.8650,8.9350,8.6150,8.8386
COL,28/01/2019,8.9050,8.8650,1719270,15237452.32,8.9050,8.9250,8.8000,8.8886
COL,29/01/2019,8.9750,8.9050,906749,8129512.01,8.9750,8.9800,8.8300,8.9622
COL,30/01/2019,9.0100,8.9750,555399,4990252.08,9.0100,9.0100,8.9150,8.9850
COL,31/01/2019,8.9300,9.0100,969727,8657475.26,8.9300,9.0350,8.8400,8.9277
COL,01/02/2019,8.8700,8.9300,570424,5070972.86,8.8700,8.9800,8.8500,8.8828
COL,04/02/2019,8.9550,8.8700,422172,3768737.34,8.9550,8.9550,8.8300,8.9270
COL,05/02/2019,8.8600,8.9550,917762,8118901.52,8.8600,8.8950,8.7050,8.8483
COL,06/02/2019,8.8850,8.8600,618399,5494277.71,8.8850,8.9450,8.8350,8.8847
COL,07/02/2019,8.8650,8.8850,718948,6356360.88,8.8650,8.9350,8.7250,8.8428
COL,08/02/2019,8.7500,8.8650,1064277,9362317.95,8.7500,8.8850,8.7300,8.7675
COL,11/02/2019,8.7400,8.7500,605143,5295406.03,8.7400,8.8200,8.7050,8.7507
COL,12/02/2019,8.6800,8.7400,856993,7445162.91,8.6800,8.7700,8.6650,8.6875
COL,13/02/2019,8.6000,8.6800,1624011,14004744.11,8.6000,8.7050,8.5500,8.6093
