Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
IAG,02/01/2019,6.6840,6.9200,991032,6635887.95,6.6840,6.7440,6.6600,6.6959
IAG,03/01/2019,6.4620,6.6840,1935071,12787096.94,6.4620,6.8500,6.4440,6.6081
IAG,04/01/2019,6.5980,6.4620,1462198,9592416.55,6.5980,6.6160,6.4820,6.5603
IAG,07/01/2019,6.6460,6.5980,1657197,11033199.48,6.6460,6.7340,6.6080,6.6577
IAG,08/01/2019,6.6480,6.6460,3153184,20924369.35,6.6480,6.7260,6.5600,6.6359
IAG,09/01/2019,6.6520,6.6480,1502123,9993890.89,6.6520,6.7200,6.6020,6.6532
IAG,10/01/2019,6.5880,6.6520,2925197,19256355.91,6.5880,6.7240,6.4780,6.5861
IAG,11/01/2019,6.8040,6.5880,1845332,12451642.60,6.8040,6.8360,6.5760,6.7434
IAG,14/01/2019,6.8000,6.8040,1755224,11918785.56,6.8000,6.8880,6.7180,6.7871
IAG,15/01/2019,6.6740,6.8000,2575341,17440805.35,6.6740,6.8800,6.6260,6.7080
IAG,16/01/2019,6.9240,6.6740,2133843,14668640.18,6.9240,6.9580,6.7440,6.8743
IAG,17/01/2019,7.0020,6.9240,1891327,13176889.45,7.0020,7.0040,6.8100,6.9649
IAG,18/01/2019,7.0200,7.0020,2233187,15614706.16,7.0200,7.0540,6.8760,6.9804
IAG,21/01/2019,7.0660,7.0200,992093,7010395.21,7.0660,7.1180,6.9520,7.0663
IAG,22/01/2019,7.0740,7.0660,6935166,48985696.97,7.0740,7.1320,6.8980,7.0537
IAG,23/01/2019,7.2300,7.0740,1643914,11861084.13,7.2300,7.2680,7.0360,7.2119
IAG,24/01/2019,7.2840,7.2300,2302239,16796275.57,7.2840,7.3920,7.1960,7.2955
IAG,25/01/2019,7.2900,7.2840,1196016,8747051.52,7.2900,7.3900,7.2600,7.3135
IAG,28/01/2019,7.1600,7.2900,1265735,9118259.40,7.1600,7.3520,7.1520,7.2059
IAG,29/01/2019,7.3860,7.1600,2229208,16413360.88,7.3860,7.4420,7.1500,7.3629
IAG,30/01/2019,7.4400,7.3860,2886794,21326026.96,7.4400,7.4440,7.3000,7.4085
IAG,31/01/2019,7.3840,7.4400,1337767,9860640.87,7.3840,7.4200,7.3040,7.3710
IAG,01/02/2019,7.4420,7.3840,1283805,9532348.21,7.4420,7.4720,7.3560,7.4298
IAG,04/02/2019,7.5140,7.4420,1072717,8017104.78,7.5140,7.5140,7.3700,7.4736
IAG,05/02/2019,7.5140,7.5140,984474,7401567.80,7.5140,7.5640,7.4800,7.5183
IAG,06/02/2019,7.5920,7.5140,1067248,8081638.16,7.5920,7.6000,7.5000,7.5724
IAG,07/02/2019,7.5660,7.5920,1265785,9590024.20,7.5660,7.6300,7.4960,7.5687
IAG,08/02/2019,7.5060,7.5660,1964032,14793201.37,7.5060,7.5980,7.4900,7.5197
IAG,11/02/2019,7.5580,7.5060,1538206,11622736.88,7.5580,7.5960,7.5000,7.5581
IAG,12/02/2019,7.3980,7.5580,2819713,21023682.85,7.3980,7.6100,7.3980,7.4561
IAG,13/02/2019,7.5100,7.3980,1663463,12473016.86,7.5100,7.5360,7.4180,7.4992
IAG,14/02/2019,7.3540,7.5100,1551537,11507976.98,7.3540,7.5540,7.3540,7.4160
IAG,15/02/2019,7.5740,7.3540,1308136,9843903.17,7.5740,7.5900,7.3540,7.5240
IAG,18/02/2019,7.4120,7.5740,1958161,14551271.30,7.4120,7.5400,7.3940,7.4345
IAG,19/02/2019,7.3960,7.4120,1032046,7639061.77,7.3960,7.4600,7.3640,7.4019
IAG,20/02/2019,7.4660,7.3960,2779901,20783392.80,7.4660,7.5180,7.3860,7.4752
IAG,21/02/2019,7.4200,7.4660,10257262,76709373.44,7.4200,7.4860,7.3800,7.4276
IAG,22/02/2019,7.4560,7.4200,1022457,7617926.57,7.4560,7.4800,7.3820,7.4506
IAG,25/02/2019,7.4300,7.4560,644402,4796930.05,7.4300,7.4940,7.4180,7.4440
IAG,26/02/2019,7.1860,7.4300,5530470,39759719.49,7.1860,7.2600,7.1220,7.1892
IAG,27/02/2019,7.0040,7.1860,6333410,44470985.63,7.0040,7.1900,6.9560,7.0216
IAG,28/02/2019,6.9560,7.0040,58457525,407380074.13,6.9560,7.2900,6.9440,6.9693
IAG,01/03/2019,7.0000,6.9560,10463758,73542952.22,7.0000,7.0920,7.0000,7.0300
IAG,04/03/2019,6.6700,7.0000,5224822,35397721.63,6.6700,7.0620,6.6700,6.7762
IAG,05/03/2019,6.6900,6.6700,3502216,23384747.90,6.6900,6.7280,6.6340,6.6775
IAG,06/03/2019,6.6420,6.6900,5912560,39336955.07,6.6420,6.7120,6.5900,6.6488
IAG,07/03/2019,6.4460,6.6420,5183996,33627969.96,6.4460,6.6700,6.4240,6.4854
IAG,08/03/2019,6.2400,6.4460,5288146,33373961.07,6.2400,6.4300,6.2180,6.3004
IAG,11/03/2019,6.2560,6.2400,3141070,19666159.25,6.2560,6.3580,6.1900,6.2610
IAG,12/03/2019,6.1560,6.2560,6998153,43724688.96,6.1560,6.3560,6.1300,6.2369
IAG,13/03/2019,6.2840,6.1560,3012443,18815910.83,6.2840,6.3040,6.1560,6.2435
