Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
MAP,02/01/2019,2.2950,2.3200,4014328,9173897.13,2.2950,2.3190,2.2520,2.2853
MAP,03/01/2019,2.3060,2.2950,4965524,11416747.90,2.3060,2.3180,2.2810,2.3012
MAP,04/01/2019,2.3710,2.3060,3943996,9297963.40,2.3710,2.3730,2.3120,2.3575
MAP,07/01/2019,2.3700,2.3710,2918356,6929851.45,2.3700,2.3980,2.3640,2.3746
MAP,08/01/2019,2.3670,2.3700,5603813,13222770.57,2.3670,2.3730,2.3330,2.3596
MAP,09/01/2019,2.3560,2.3670,4030886,9503763.30,2.3560,2.3850,2.3450,2.3577
MAP,10/01/2019,2.3880,2.3560,3490551,8292807.38,2.3880,2.3880,2.3430,2.3763
MAP,11/01/2019,2.4140,2.3880,5826070,14058967.63,2.4140,2.4270,2.3920,2.4134
MAP,14/01/2019,2.4240,2.4140,4275961,10321109.21,2.4240,2.4240,2.3870,2.4129
MAP,15/01/2019,2.4380,2.4240,3213433,7825750.54,2.4380,2.4570,2.4230,2.4354
MAP,16/01/2019,2.4590,2.4380,4107347,10078753.51,2.4590,2.4590,2.4400,2.4538
MAP,17/01/2019,2.4380,2.4590,5713303,13969292.73,2.4380,2.4650,2.4320,2.4443
MAP,18/01/2019,2.4640,2.4380,4355955,10721433.95,2.4640,2.4740,2.4480,2.4613
MAP,21/01/2019,2.4750,2.4640,2832784,6996534.06,2.4750,2.4780,2.4550,2.4696
MAP,22/01/2019,2.4500,2.4750,5058220,12452645.43,2.4500,2.4850,2.4400,2.4591
MAP,23/01/2019,2.4730,2.4500,3855194,9518413.02,2.4730,2.4800,2.4380,2.4687
MAP,24/01/2019,2.5010,2.4730,4910669,12248783.21,2.5010,2.5060,2.4720,2.4945
MAP,25/01/2019,2.4890,2.5010,3221508,8043355.18,2.4890,2.5200,2.4890,2.4968
MAP,28/01/2019,2.4790,2.4890,2850329,7063916.80,2.4790,2.4920,2.4670,2.4781
MAP,29/01/2019,2.4790,2.4790,3008698,7463790.14,2.4790,2.4940,2.4640,2.4798
MAP,30/01/2019,2.4810,2.4790,2153610,5332858.34,2.4810,2.4810,2.4610,2.4762
MAP,31/01/2019,2.4280,2.4810,4759468,11590054.36,2.4280,2.4890,2.4210,2.4352
MAP,01/02/2019,2.4670,2.4280,3366479,8274010.69,2.4670,2.4730,2.4320,2.4578
MAP,04/02/2019,2.4610,2.4670,4259158,10477990.16,2.4610,2.4770,2.4450,2.4601
MAP,05/02/2019,2.4770,2.4610,3741932,9258838.62,2.4770,2.4830,2.4530,2.4743
MAP,06/02/2019,2.4740,2.4770,3114282,7716852.42,2.4740,2.4870,2.4700,2.4779
MAP,07/02/2019,2.4000,2.4740,5442750,13142602.74,2.4000,2.4770,2.3800,2.4150
MAP,08/02/2019,2.4040,2.4000,4725683,11352571.17,2.4040,2.4150,2.3850,2.4022
MAP,11/02/2019,2.3840,2.4040,4513957,10766314.09,2.3840,2.4040,2.3600,2.3850
MAP,12/02/2019,2.3890,2.3840,2663733,6376678.94,2.3890,2.4060,2.3840,2.3939
MAP,13/02/2019,2.4250,2.3890,4890069,11786436.14,2.4250,2.4250,2.3890,2.4124
MAP,14/02/2019,2.4090,2.4250,4656022,11265290.25,2.4090,2.4490,2.4080,2.4195
MAP,15/02/2019,2.4500,2.4090,4039219,9882722.01,2.4500,2.4710,2.3900,2.4467
MAP,18/02/2019,2.4380,2.4500,2524968,6168361.35,2.4380,2.4640,2.4350,2.4429
MAP,19/02/2019,2.4560,2.4380,4115246,10066523.91,2.4560,2.4560,2.4300,2.4474
MAP,20/02/2019,2.4750,2.4560,2704547,6678022.92,2.4750,2.4830,2.4510,2.4692
MAP,21/02/2019,2.4740,2.4750,2736271,6786448.51,2.4740,2.4900,2.4730,2.4802
MAP,22/02/2019,2.4890,2.4740,2759495,6856989.26,2.4890,2.4900,2.4700,2.4849
MAP,25/02/2019,2.4810,2.4890,3244959,8051953.65,2.4810,2.5000,2.4670,2.4814
MAP,26/02/2019,2.4780,2.4810,3006115,7448005.03,2.4780,2.4900,2.4570,2.4776
MAP,27/02/2019,2.4670,2.4780,3300929,8148428.22,2.4670,2.4810,2.4620,2.4687
MAP,28/02/2019,2.4840,2.4670,5879916,14586320.99,2.4840,2.4940,2.4530,2.4808
MAP,01/03/2019,2.4950,2.4840,4717318,11787427.55,2.4950,2.5110,2.4870,2.4983
MAP,04/03/2019,2.4960,2.4950,2582438,6457531.72,2.4960,2.5150,2.4950,2.5006
MAP,05/03/2019,2.4800,2.4960,2833414,7034231.36,2.4800,2.5010,2.4710,2.4823
MAP,06/03/2019,2.5010,2.4800,4347753,10853149.90,2.5010,2.5120,2.4710,2.4974
MAP,07/03/2019,2.4660,2.5010,3434550,8520078.07,2.4660,2.5110,2.4650,2.4807
MAP,08/03/2019,2.4400,2.4660,3114947,7605668.13,2.4400,2.4590,2.4290,2.4417
MAP,11/03/2019,2.4280,2.4400,2955842,7189739.05,2.4280,2.4540,2.4250,2.4333
MAP,12/03/2019,2.4390,2.4280,2420459,5898559.31,2.4390,2.4500,2.4220,2.4370
MAP,13/03/2019,2.4630,2.4390,4958009,12204426.31,2.4630,2.4730,2.4420,2.4616
MAP,14/03/2019,2.4810,2.4630,5769813,14340947.76,2.4810,2.5000,2.4630,2.4852
MAP,15/03/2019,2.5170,2.4810,8337401,20942158.73,2.5170,2.5170,2.4830,2.5112
MAP,18/03/2019,2.5480,2.5170,5140903,13104644.87,2.5480,2.5660,2.5180,2.5490
MAP,19/03/2019,2.5900,2.5480,4910360,12683833.99,2.5900,2.5920,2.5510,2.5831
MAP,20/03/2019,2.5340,2.5900,3582412,9128959.47,2.5340,2.5960,2.5340,2.5483
MAP,21/03/2019,2.5290,2.5340,2518962,6363007.88,2.5290,2.5380,2.5090,2.5260
MAP,22/03/2019,2.4920,2.5290,5716786,14369558.51,2.4920,2.5440,2.4920,2.4994
MAP,25/03/2019,2.4770,2.4920,6230406,15453050.49,2.4770,2.5070,2.4750,2.4804
MAP,26/03/2019,2.4370,2.4770,4631014,11346265.77,2.4370,2.4870,2.4350,2.4501
MAP,27/03/2019,2.4470,2.4370,4458468,10916313.35,2.4470,2.4730,2.4330,2.4484
MAP,28/03/2019,2.4310,2.4470,3123139,7614466.78,2.4310,2.4600,2.4290,2.4376
MAP,29/03/2019,2.4560,2.4310,4798785,11776767.11,2.4560,2.4660,2.4410,2.4541
MAP,01/04/2019,2.4980,2.4560,3920875,9765393.46,2.4980,2.4990,2.4680,2.4912
MAP,02/04/2019,2.5270,2.4980,4285184,10808712.57,2.5270,2.5270,2.4970,2.5223
MAP,03/04/2019,2.5710,2.5270,4162891,10681387.00,2.5710,2.5710,2.5400,2.5659
