Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
TL5,02/01/2019,5.5880,5.4900,755250,4166329.26,5.5880,5.5920,5.3560,5.5165
TL5,03/01/2019,5.5660,5.5880,1935299,10715105.64,5.5660,5.5980,5.5120,5.5576
TL5,04/01/2019,5.6500,5.5660,1863348,10624583.14,5.6500,5.9000,5.5660,5.7019
TL5,07/01/2019,5.8580,5.6500,1018698,5930630.59,5.8580,5.8760,5.7000,5.8212
TL5,08/01/2019,5.8340,5.8580,990703,5793661.14,5.8340,5.9500,5.8120,5.8492
TL5,09/01/2019,5.9440,5.8340,841740,5012318.65,5.9440,6.0140,5.8580,5.9547
TL5,10/01/2019,5.9280,5.9440,789333,4673713.81,5.9280,5.9860,5.8660,5.9211
TL5,11/01/2019,6.1000,5.9280,889560,5354602.20,6.1000,6.1080,5.8500,6.0194
TL5,14/01/2019,5.9880,6.1000,693957,4164250.11,5.9880,6.1320,5.9400,6.0007
TL5,15/01/2019,5.8220,5.9880,769794,4521300.85,5.8220,6.0660,5.8160,5.8734
TL5,16/01/2019,5.8500,5.8220,524391,3070142.19,5.8500,5.8860,5.8180,5.8547
TL5,17/01/2019,5.4820,5.8500,2547655,14081778.78,5.4820,5.7700,5.4520,5.5283
TL5,18/01/2019,5.7540,5.4820,1448430,8235370.12,5.7540,5.8000,5.5120,5.6853
TL5,21/01/2019,5.9000,5.7540,742051,4383297.48,5.9000,5.9920,5.8320,5.9070
TL5,22/01/2019,5.7800,5.9000,570086,3311074.67,5.7800,5.8800,5.7800,5.8080
TL5,23/01/2019,5.8880,5.7800,726313,4250886.86,5.8880,5.8920,5.7340,5.8527
TL5,24/01/2019,6.2300,5.8880,2034349,12515987.90,6.2300,6.2880,5.8900,6.1571
TL5,25/01/2019,6.3360,6.2300,2194019,13857244.18,6.3360,6.4500,6.2080,6.3255
TL5,28/01/2019,6.2280,6.3360,1628597,10181973.22,6.2280,6.4240,6.1400,6.2530
TL5,29/01/2019,6.3000,6.2280,2896031,18234899.20,6.3000,6.3380,6.2320,6.2917
TL5,30/01/2019,6.1580,6.3000,1100751,6803043.39,6.1580,6.3300,6.1420,6.1804
TL5,31/01/2019,6.1500,6.1580,1342292,8222027.80,6.1500,6.2460,6.0400,6.1254
TL5,01/02/2019,6.2400,6.1500,1108423,6899220.68,6.2400,6.2880,6.1160,6.2244
TL5,04/02/2019,6.3340,6.2400,687817,4326784.73,6.3340,6.3360,6.2040,6.2906
TL5,05/02/2019,6.3040,6.3340,1675195,10571659.36,6.3040,6.3980,6.2580,6.3231
TL5,06/02/2019,6.2640,6.3040,615733,3847495.95,6.2640,6.3020,6.2000,6.2486
TL5,07/02/2019,5.9840,6.2640,1522885,9236132.50,5.9840,6.2840,5.9840,6.0649
TL5,08/02/2019,5.8880,5.9840,872939,5156563.98,5.8880,5.9780,5.8680,5.9071
TL5,11/02/2019,6.0300,5.8880,840613,5057180.66,6.0300,6.0740,5.9140,6.0161
TL5,12/02/2019,6.1000,6.0300,635307,3873360.81,6.1000,6.1340,6.0000,6.0968
TL5,13/02/2019,6.1700,6.1000,602224,3720693.69,6.1700,6.2400,6.0700,6.1783
TL5,14/02/2019,6.1780,6.1700,723358,4468654.09,6.1780,6.2500,6.1060,6.1777
TL5,15/02/2019,6.2440,6.1780,797891,4968991.14,6.2440,6.2740,6.1680,6.2277
TL5,18/02/2019,6.4160,6.2440,1244348,7937500.51,6.4160,6.4380,6.2440,6.3788
TL5,19/02/2019,6.4280,6.4160,801180,5152920.58,6.4280,6.4880,6.3820,6.4317
TL5,20/02/2019,6.5860,6.4280,1853844,12158039.65,6.5860,6.6640,6.4280,6.5752
TL5,21/02/2019,6.6500,6.5860,865793,5730621.55,6.6500,6.6880,6.5120,6.6189
TL5,22/02/2019,6.6180,6.6500,755365,5022317.69,6.6180,6.7340,6.6100,6.6489
TL5,25/02/2019,6.5760,6.6180,2496657,16521042.30,6.5760,6.6440,6.5380,6.5855
TL5,26/02/2019,6.4780,6.5760,1104644,7177597.83,6.4780,6.5800,6.4340,6.4977
TL5,27/02/2019,6.5820,6.4780,1156333,7604309.26,6.5820,6.6500,6.4340,6.5762
TL5,28/02/2019,6.5980,6.5820,1209473,7991410.85,6.5980,6.7400,6.4780,6.6073
TL5,01/03/2019,6.8420,6.5980,3004642,20363549.18,6.8420,6.8680,6.6760,6.7789
TL5,04/03/2019,7.0240,6.8420,1488502,10446704.09,7.0240,7.0700,6.8740,7.0181
TL5,05/03/2019,6.9760,7.0240,1861915,13049401.53,6.9760,7.1480,6.9160,7.0046
TL5,06/03/2019,7.0560,6.9760,1226705,8637325.44,7.0560,7.0740,6.9600,7.0411
TL5,07/03/2019,6.8120,7.0560,2404395,16747559.83,6.8120,7.0940,6.8060,6.8781
TL5,08/03/2019,6.6240,6.8120,1527977,10170184.31,6.6240,6.8280,6.5880,6.6551
TL5,11/03/2019,6.7260,6.6240,2911064,19433557.76,6.7260,6.7580,6.6100,6.7096
TL5,12/03/2019,6.7320,6.7260,1227613,8314893.85,6.7320,6.8820,6.6900,6.7732
TL5,13/03/2019,6.7720,6.7320,1466769,9912874.71,6.7720,6.7840,6.7100,6.7603
TL5,14/03/2019,6.7860,6.7720,785965,5361565.79,6.7860,6.8860,6.7820,6.8225
TL5,15/03/2019,6.7440,6.7860,3425888,23108685.41,6.7440,6.8100,6.7100,6.7448
TL5,18/03/2019,6.7700,6.7440,1901240,12850693.49,6.7700,6.7900,6.7040,6.7515
TL5,19/03/2019,7.0200,6.7700,1885862,13245867.52,7.0200,7.1220,6.8000,7.0238
TL5,20/03/2019,6.9380,7.0200,1080620,7565946.69,6.9380,7.0600,6.9380,7.0015
TL5,21/03/2019,6.7140,6.9380,1219795,8240516.75,6.7140,6.9460,6.6740,6.7557
TL5,22/03/2019,6.6220,6.7140,2124593,14219209.34,6.6220,6.7660,6.6000,6.6481
TL5,25/03/2019,6.6420,6.6220,1190966,7865949.41,6.6420,6.6780,6.4840,6.6063
TL5,26/03/2019,6.6360,6.6420,1346729,8955834.63,6.6360,6.7200,6.5860,6.6501
TL5,27/03/2019,6.8740,6.6360,1653663,11192104.63,6.8740,6.8880,6.5760,6.7681
TL5,28/03/2019,6.6780,6.8740,1257542,8495840.05,6.6780,6.9080,6.6620,6.7559
TL5,29/03/2019,6.6560,6.6780,1319860,8813959.32,6.6560,6.8020,6.5840,6.6764
TL5,01/04/2019,6.6820,6.6560,1067076,7119523.33,6.6820,6.7300,6.5880,6.6700
TL5,02/04/2019,6.6700,6.6820,808782,5404050.73,6.6700,6.7500,6.6280,6.6817
TL5,03/04/2019,6.8520,6.6700,1240092,8441558.31,6.8520,6.8860,6.7260,6.8072
TL5,04/04/2019,6.6900,6.8520,1167850,7854761.66,6.6900,6.8440,6.6900,6.7258
TL5,05/04/2019,6.6660,6.6900,1452869,9711378.43,6.6660,6.7740,6.6300,6.6843
TL5,08/04/2019,6.5500,6.6660,1032684,6796159.06,6.5500,6.6980,6.5360,6.5811
TL5,09/04/2019,6.4980,6.5500,1268112,8231004.98,6.4980,6.5540,6.4380,6.4908
TL5,10/04/2019,6.5600,6.4980,1086809,7097331.25,6.5600,6.5820,6.4500,6.5304
TL5,11/04/2019,6.7100,6.5600,1804091,12126228.22,6.7100,6.8220,6.5960,6.7292
TL5,12/04/2019,6.6580,6.7100,3495988,23453464.14,6.6580,6.7480,6.5800,6.6682
TL5,15/04/2019,6.6940,6.6580,835805,5623629.37,6.6940,6.7980,6.6940,6.7284
TL5,16/04/2019,6.6740,6.6940,1070600,7168176.09,6.6740,6.7420,6.6740,6.6962
TL5,17/04/2019,6.6500,6.6740,1145178,7659465.94,6.6500,6.7300,6.6500,6.6822
TL5,18/04/2019,6.8000,6.6500,2344206,15871503.68,6.8000,6.8120,6.6280,6.7571
TL5,23/04/2019,6.7840,6.8000,4374998,29657778.80,6.7840,6.8800,6.7360,6.7984
TL5,24/04/2019,6.7000,6.7840,1027811,6902340.14,6.7000,6.8400,6.6520,6.7156
TL5,25/04/2019,6.9400,6.7000,2088576,14405189.28,6.9400,7.0100,6.6880,6.9007
TL5,26/04/2019,6.7040,6.6360,1132604,7595206.98,6.7040,6.7940,6.6580,6.7060
TL5,29/04/2019,6.8360,6.7040,824459,5606204.31,6.8360,6.8360,6.7040,6.7999
TL5,30/04/2019,6.9000,6.8360,1671509,11517292.11,6.9000,6.9400,6.8220,6.8904
TL5,02/05/2019,6.9320,6.9000,1981462,13714606.23,6.9320,6.9500,6.8100,6.9215
