Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
MEL,02/01/2019,8.3150,8.2100,492643,4058517.57,8.3150,8.3500,8.0550,8.2382
MEL,03/01/2019,8.0750,8.3150,412912,3365941.34,8.0750,8.3100,8.0750,8.1517
MEL,04/01/2019,8.3400,8.0750,480728,3996082.19,8.3400,8.3950,8.1350,8.3126
MEL,07/01/2019,8.3000,8.3400,350115,2908397.20,8.3000,8.3750,8.2250,8.3070
MEL,08/01/2019,8.5500,8.3000,592728,5038943.49,8.5500,8.6100,8.2800,8.5015
MEL,09/01/2019,8.6700,8.5500,872213,7560611.95,8.6700,8.7350,8.5700,8.6644
MEL,10/01/2019,8.6400,8.6700,380532,3287823.53,8.6400,8.6900,8.5350,8.6401
MEL,11/01/2019,8.6000,8.6400,513223,4434305.93,8.6000,8.6900,8.5750,8.6197
MEL,14/01/2019,8.5550,8.6000,325720,2784602.64,8.5550,8.6200,8.4750,8.5491
MEL,15/01/2019,8.5750,8.5550,360412,3082411.02,8.5750,8.6500,8.4500,8.5525
MEL,16/01/2019,8.6300,8.5750,724138,6241727.74,8.6300,8.6700,8.5650,8.6327
MEL,17/01/2019,8.5600,8.6300,365321,3141469.06,8.5600,8.6650,8.5350,8.5992
MEL,18/01/2019,8.7950,8.5600,771045,6722430.60,8.7950,8.8150,8.5500,8.7278
MEL,21/01/2019,8.9600,8.7950,562871,5015276.48,8.9600,8.9750,8.7800,8.9102
MEL,22/01/2019,8.9500,8.9600,916956,8180493.60,8.9500,9.0400,8.8850,8.9487
MEL,23/01/2019,8.9600,8.9500,548265,4923833.69,8.9600,9.1000,8.8900,8.9838
MEL,24/01/2019,8.9650,8.9600,793691,7115564.04,8.9650,9.0800,8.8700,8.9631
MEL,25/01/2019,9.0400,8.9650,495471,4458814.96,9.0400,9.0400,8.9200,8.9991
MEL,28/01/2019,8.9900,9.0400,805496,7293714.62,8.9900,9.2150,8.9800,9.0703
MEL,29/01/2019,8.8650,8.9900,561303,4998641.54,8.8650,9.0300,8.8600,8.9054
MEL,30/01/2019,8.7700,8.8650,1151535,10140482.62,8.7700,8.8650,8.7300,8.7847
MEL,31/01/2019,8.7650,8.7700,519275,4519895.12,8.7650,8.8350,8.6050,8.7042
MEL,01/02/2019,8.8700,8.7650,459382,4054209.62,8.8700,8.8750,8.7300,8.8254
MEL,04/02/2019,8.8500,8.8700,378814,3364591.35,8.8500,8.9450,8.8500,8.8819
MEL,05/02/2019,9.0700,8.8500,536699,4814042.60,9.0700,9.0700,8.8250,8.9981
MEL,06/02/2019,9.1750,9.0700,524397,4811830.74,9.1750,9.2200,9.0500,9.1759
MEL,07/02/2019,8.6000,9.1750,1309674,11441459.61,8.6000,9.1750,8.5700,8.7361
MEL,08/02/2019,8.7000,8.6000,1076717,9288817.17,8.7000,8.7600,8.4150,8.6280
MEL,11/02/2019,8.2000,8.7000,1792383,14957770.65,8.2000,8.8200,8.1850,8.3446
MEL,12/02/2019,8.5300,8.2000,1096838,9277803.69,8.5300,8.5600,8.2200,8.4559
MEL,13/02/2019,8.6000,8.5300,385172,3317300.52,8.6000,8.6950,8.5500,8.6125
MEL,14/02/2019,8.6500,8.6000,543380,4716313.55,8.6500,8.7200,8.5900,8.6775
MEL,15/02/2019,8.7650,8.6500,541288,4734654.22,8.7650,8.8100,8.5700,8.7470
MEL,18/02/2019,8.7500,8.7650,464405,4065547.43,8.7500,8.8150,8.7100,8.7543
MEL,19/02/2019,8.6550,8.7500,881781,7685876.58,8.6550,8.9150,8.6150,8.7163
MEL,20/02/2019,8.8100,8.6550,560028,4915980.57,8.8100,8.8500,8.6400,8.7781
MEL,21/02/2019,8.7150,8.8100,457957,3984056.05,8.7150,8.8100,8.6250,8.6996
MEL,22/02/2019,8.8450,8.7150,620417,5499179.86,8.8450,8.9300,8.7600,8.8637
MEL,25/02/2019,8.7650,8.8450,518887,4584848.41,8.7650,8.9250,8.7650,8.8359
MEL,26/02/2019,8.8300,8.7650,437290,3859995.73,8.8300,8.8850,8.7650,8.8271
MEL,27/02/2019,8.6000,8.8300,1393530,12231164.42,8.6000,8.9100,8.6000,8.6862
MEL,28/02/2019,8.3950,8.6000,1713642,14398051.61,8.3950,8.7700,8.2650,8.3968
MEL,01/03/2019,8.5000,8.3950,1482901,12659474.26,8.5000,8.7250,8.4000,8.5403
MEL,04/03/2019,8.7800,8.5000,1189641,10372797.67,8.7800,8.8100,8.5150,8.7059
MEL,05/03/2019,8.6700,8.7800,482344,4189176.52,8.6700,8.8000,8.6400,8.6850
MEL,06/03/2019,8.6000,8.6700,715866,6190682.41,8.6000,8.7250,8.5850,8.6316
MEL,07/03/2019,8.4450,8.6000,543947,4610251.99,8.4450,8.6350,8.3750,8.4756
MEL,08/03/2019,8.3850,8.4450,492590,4130017.74,8.3850,8.4400,8.3450,8.3843
MEL,11/03/2019,8.4800,8.3850,601718,5087605.87,8.4800,8.5300,8.3600,8.4548
MEL,12/03/2019,8.2600,8.4800,1011897,8445772.87,8.2600,8.5300,8.2200,8.3021
MEL,13/03/2019,8.2650,8.2600,510841,4229800.60,8.2650,8.3600,8.2300,8.2801
MEL,14/03/2019,8.2600,8.2650,571311,4735711.05,8.2600,8.4150,8.2300,8.2892
MEL,15/03/2019,8.3800,8.2600,993038,8265780.91,8.3800,8.3900,8.2600,8.3310
MEL,18/03/2019,8.3950,8.3800,595839,5015801.29,8.3950,8.4850,8.3550,8.4185
MEL,19/03/2019,8.5700,8.3950,1229567,10447230.69,8.5700,8.6050,8.4050,8.5295
MEL,20/03/2019,8.5100,8.5700,647259,5516173.01,8.5100,8.5700,8.5100,8.5240
MEL,21/03/2019,8.3400,8.5100,1056875,8858816.84,8.3400,8.5500,8.3150,8.3821
MEL,22/03/2019,8.0200,8.3400,1582908,12822471.47,8.0200,8.3900,8.0050,8.1006
MEL,25/03/2019,8.0550,8.0200,933797,7533086.85,8.0550,8.1350,8.0000,8.0672
MEL,26/03/2019,8.0900,8.0550,431818,3493310.00,8.0900,8.1400,8.0100,8.0898
MEL,27/03/2019,8.1600,8.0900,576859,4724614.12,8.1600,8.2850,8.0850,8.1902
MEL,28/03/2019,8.1150,8.1600,460491,3759116.32,8.1150,8.2150,8.1150,8.1633
MEL,29/03/2019,8.2750,8.1150,1135527,9324437.31,8.2750,8.2750,8.0850,8.2192
MEL,01/04/2019,8.2550,8.2750,657126,5432828.70,8.2550,8.3300,8.2300,8.2676
MEL,02/04/2019,8.3000,8.2550,459259,3804325.73,8.3000,8.3250,8.2000,8.2836
MEL,03/04/2019,8.3800,8.3000,563532,4719033.61,8.3800,8.4200,8.3100,8.3688
MEL,04/04/2019,8.3650,8.3800,501054,4204945.26,8.3650,8.4400,8.3600,8.3922
MEL,05/04/2019,8.3000,8.3650,966980,8081299.70,8.3000,8.5250,8.2950,8.3716
MEL,08/04/2019,8.2500,8.3000,361256,2994591.36,8.2500,8.3450,8.2500,8.2894
MEL,09/04/2019,8.2000,8.2500,678724,5583772.92,8.2000,8.2800,8.1500,8.2197
MEL,10/04/2019,8.2200,8.2000,532272,4368870.32,8.2200,8.2600,8.1500,8.2108
MEL,11/04/2019,8.5250,8.2200,786345,6666037.46,8.5250,8.5850,8.2350,8.4829
MEL,12/04/2019,8.5900,8.5250,633970,5430009.22,8.5900,8.6350,8.4500,8.5649
MEL,15/04/2019,8.5850,8.5900,589839,5075421.62,8.5850,8.6900,8.5300,8.6032
MEL,16/04/2019,8.6650,8.5850,448866,3880364.64,8.6650,8.6850,8.5800,8.6448
MEL,17/04/2019,8.6850,8.6650,595633,5172120.32,8.6850,8.7300,8.6350,8.6834
MEL,18/04/2019,8.7650,8.6850,709585,6168571.67,8.7650,8.7950,8.5200,8.6932
MEL,23/04/2019,8.7500,8.7650,476411,4158302.16,8.7500,8.8000,8.6600,8.7284
MEL,24/04/2019,8.6850,8.7500,442619,3847900.03,8.6850,8.7750,8.6500,8.6935
MEL,25/04/2019,8.6800,8.6850,530551,4601346.30,8.6800,8.7350,8.6500,8.6932
MEL,26/04/2019,8.7950,8.6800,452371,3959611.75,8.7950,8.8000,8.6550,8.7530
MEL,29/04/2019,8.8800,8.7950,327205,2889874.19,8.8800,8.8850,8.7550,8.8320
MEL,30/04/2019,8.8300,8.8800,455856,4025420.38,8.8300,8.8900,8.7750,8.8305
MEL,02/05/2019,8.8200,8.8300,572422,5042503.55,8.8200,8.8500,8.7350,8.8091
MEL,03/05/2019,8.6800,8.8200,446102,3892715.93,8.6800,8.8500,8.6550,8.7261
MEL,06/05/2019,8.4700,8.6800,513622,4362083.95,8.4700,8.6150,8.4350,8.4928
MEL,07/05/2019,8.2700,8.4700,807965,6713832.13,8.2700,8.5800,8.2400,8.3096
MEL,08/05/2019,8.2550,8.2700,615221,5065035.16,8.2550,8.2900,8.1600,8.2329
MEL,09/05/2019,8.0400,8.2550,1092759,8816750.89,8.0400,8.2000,8.0000,8.0623
MEL,10/05/2019,8.2200,8.0400,530436,4350972.86,8.2200,8.2600,8.0800,8.2026
