Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
NTGY,02/01/2019,22.5300,22.2600,877057,19563354.16,22.5300,22.5700,21.8100,22.3057
NTGY,03/01/2019,22.3500,22.5300,1051739,23534857.26,22.3500,22.5100,22.1800,22.3771
NTGY,04/01/2019,22.5300,22.3500,851230,19168466.76,22.5300,22.6200,22.3400,22.5186
NTGY,07/01/2019,22.5900,22.5300,1211437,27300946.20,22.5900,22.5900,22.3600,22.5344
NTGY,08/01/2019,22.6700,22.5900,1412764,32050584.18,22.6700,22.8300,22.5100,22.6864
NTGY,09/01/2019,22.5200,22.6700,917456,20722626.62,22.5200,22.8800,22.4900,22.5871
NTGY,10/01/2019,22.8500,22.5200,1148385,26105789.69,22.8500,22.8500,22.4200,22.7597
NTGY,11/01/2019,22.7000,22.8500,1279522,29153904.42,22.7000,22.9800,22.6800,22.7684
NTGY,14/01/2019,22.7300,22.7000,923831,20911682.48,22.7300,22.8300,22.4400,22.6974
NTGY,15/01/2019,23.1100,22.7300,1002347,23089027.52,23.1100,23.1700,22.7800,23.0469
NTGY,16/01/2019,23.0900,23.1100,678924,15660461.64,23.0900,23.1300,22.9200,23.0648
NTGY,17/01/2019,23.2600,23.0900,686090,15945876.14,23.2600,23.3700,23.0000,23.2410
NTGY,18/01/2019,23.4000,23.2600,1003340,23436560.82,23.4000,23.4600,23.1800,23.3601
NTGY,21/01/2019,23.3500,23.4000,810465,18960418.52,23.3500,23.5600,23.2900,23.3934
NTGY,22/01/2019,23.4500,23.3500,1449788,34031854.09,23.4500,23.6600,23.3300,23.4744
NTGY,23/01/2019,23.6300,23.4500,985265,23250291.80,23.6300,23.7000,23.3900,23.5984
NTGY,24/01/2019,23.8500,23.6300,1024762,24361256.88,23.8500,23.8500,23.6600,23.7788
NTGY,25/01/2019,23.5100,23.8500,736712,17399375.05,23.5100,23.9800,23.4900,23.6176
NTGY,28/01/2019,23.4000,23.5100,753796,17676147.52,23.4000,23.7000,23.4000,23.4472
NTGY,29/01/2019,23.7500,23.4000,808418,19160011.27,23.7500,23.7600,23.4100,23.7006
NTGY,30/01/2019,24.0200,23.7500,1099443,26269106.53,24.0200,24.0900,23.4000,23.9051
NTGY,31/01/2019,24.3500,24.0200,1291638,31355969.56,24.3500,24.4300,23.9200,24.2761
NTGY,01/02/2019,24.1900,24.3500,1486983,35988843.35,24.1900,24.4700,24.0700,24.2025
NTGY,04/02/2019,24.2100,24.1900,1063742,25732039.38,24.2100,24.3900,24.1100,24.1913
NTGY,05/02/2019,24.3700,24.2100,1169920,28424477.89,24.3700,24.3700,24.0700,24.2961
NTGY,06/02/2019,24.3600,24.3700,1550002,37771646.06,24.3600,24.4900,24.2300,24.3757
NTGY,07/02/2019,24.0500,24.3600,963771,23243698.26,24.0500,24.3400,24.0500,24.1174
NTGY,08/02/2019,23.9400,24.0500,1340996,32151721.53,23.9400,24.1200,23.9200,23.9706
NTGY,11/02/2019,24.0300,23.9400,1191045,28625309.60,24.0300,24.2500,23.8900,24.0329
NTGY,12/02/2019,24.2600,24.0300,883403,21397351.16,24.2600,24.3000,24.0300,24.2215
NTGY,13/02/2019,23.6800,24.2600,1234852,29435044.76,23.6800,24.2500,23.6400,23.8274
NTGY,14/02/2019,23.6300,23.6800,1321380,31320030.38,23.6300,23.9300,23.5700,23.7025
NTGY,15/02/2019,23.6400,23.6300,1239555,29307877.18,23.6400,23.8100,23.5600,23.6454
NTGY,18/02/2019,23.7500,23.6400,1060474,25149960.91,23.7500,23.8500,23.6300,23.7390
NTGY,19/02/2019,23.8400,23.7500,615930,14664840.61,23.8400,23.8800,23.6500,23.8093
NTGY,20/02/2019,23.8000,23.8400,768926,18348155.18,23.8000,24.0600,23.7600,23.8621
NTGY,21/02/2019,23.8200,23.8000,1119311,26667461.08,23.8200,23.9800,23.6300,23.8132
NTGY,22/02/2019,23.9100,23.8200,810397,19351588.00,23.9100,24.0000,23.6500,23.8799
NTGY,25/02/2019,23.8900,23.9100,1093946,26146843.83,23.8900,24.0800,23.8100,23.8966
NTGY,26/02/2019,23.8800,23.8900,722766,17247115.07,23.8800,23.9600,23.7500,23.8627
NTGY,27/02/2019,23.7900,23.8800,856054,20382564.23,23.7900,23.9100,23.7200,23.8099
NTGY,28/02/2019,23.8700,23.7900,1442856,34402927.05,23.8700,23.9900,23.6300,23.8398
NTGY,01/03/2019,23.7800,23.8700,1005898,23958607.24,23.7800,24.0000,23.7600,23.8181
NTGY,04/03/2019,23.7200,23.7800,791627,18765325.20,23.7200,23.8800,23.6100,23.7062
NTGY,05/03/2019,23.7700,23.7200,1999848,47502228.54,23.7700,23.8900,23.6000,23.7727
NTGY,06/03/2019,23.9000,23.7700,1138744,27188304.42,23.9000,24.0500,23.7300,23.9057
NTGY,07/03/2019,24.5700,23.9000,958696,23402564.83,24.5700,24.6300,23.9400,24.4108
NTGY,08/03/2019,24.5100,24.5700,883058,21669079.84,24.5100,24.7300,24.4000,24.5387
NTGY,11/03/2019,24.3200,24.5100,1021946,24963288.48,24.3200,24.5800,24.2200,24.3453
NTGY,12/03/2019,24.5400,24.3200,556746,13627624.08,24.5400,24.5400,24.2400,24.4773
NTGY,13/03/2019,24.5100,24.5400,1010804,24805835.30,24.5100,24.6900,24.4500,24.5410
NTGY,14/03/2019,24.4800,24.5100,5710660,140286403.34,24.4800,24.6000,24.3400,24.4643
NTGY,15/03/2019,24.6600,24.4800,2432004,59911776.00,24.6600,24.8600,24.4600,24.6660
NTGY,18/03/2019,24.3500,24.0900,1351356,32753806.41,24.3500,24.3500,24.0800,24.2840
NTGY,19/03/2019,24.5400,24.3500,1028150,25181421.15,24.5400,24.6000,24.3500,24.5130
NTGY,20/03/2019,24.6000,24.5400,1061830,26083247.32,24.6000,24.6300,24.4400,24.5765
NTGY,21/03/2019,24.7900,24.6000,832697,20610113.93,24.7900,24.8300,24.5900,24.7510
NTGY,22/03/2019,24.6700,24.7900,2301816,56900525.13,24.6700,24.8600,24.6100,24.6830
NTGY,25/03/2019,24.8300,24.6700,1582725,39092228.41,24.8300,24.8900,24.5000,24.7978
NTGY,26/03/2019,24.9400,24.8300,1146794,28595510.32,24.9400,25.0200,24.7900,24.9331
NTGY,27/03/2019,25.0500,24.9400,817333,20362209.21,25.0500,25.0500,24.6200,24.9124
NTGY,28/03/2019,25.0200,25.0500,5704473,142538588.27,25.0200,25.1900,24.9600,25.0380
NTGY,29/03/2019,24.9300,25.0200,1112632,27799266.88,24.9300,25.1800,24.9300,24.9848
NTGY,01/04/2019,25.0000,24.9300,1310192,32750287.04,25.0000,25.0700,24.8800,24.9840
NTGY,02/04/2019,25.1900,25.0000,822494,20709109.98,25.1900,25.2800,24.9800,25.1784
NTGY,03/04/2019,25.2600,25.1900,1290224,32548289.95,25.2600,25.3300,25.1200,25.2269
NTGY,04/04/2019,25.4100,25.2600,953783,24204171.24,25.4100,25.4400,25.2200,25.3862
NTGY,05/04/2019,25.3900,25.4100,927983,23576894.34,25.3900,25.5200,25.2700,25.4064
NTGY,08/04/2019,25.3000,25.3900,556799,14100302.59,25.3000,25.4800,25.2300,25.3208
NTGY,09/04/2019,25.3900,25.3000,811110,20585497.69,25.3900,25.4700,25.1500,25.3794
NTGY,10/04/2019,25.5700,25.3900,1390549,35429207.08,25.5700,25.6000,25.3100,25.5189
NTGY,11/04/2019,25.3900,25.5700,552154,14017495.88,25.3900,25.5500,25.3200,25.3891
NTGY,12/04/2019,25.1400,25.3900,1392250,35096734.07,25.1400,25.4600,25.0900,25.1864
NTGY,15/04/2019,25.1400,25.1400,706074,17742249.60,25.1400,25.3000,24.9700,25.1280
NTGY,16/04/2019,24.6900,25.1400,835925,20698124.63,24.6900,25.1600,24.6900,24.7607
NTGY,17/04/2019,24.7300,24.6900,1174010,28937213.58,24.7300,24.7300,24.3600,24.6394
NTGY,18/04/2019,24.8200,24.7300,562035,13918558.09,24.8200,24.8500,24.5300,24.7603
NTGY,23/04/2019,24.8900,24.8200,740713,18407151.93,24.8900,24.9500,24.7200,24.8683
NTGY,24/04/2019,24.7300,24.8900,584726,14453798.97,24.7300,24.8200,24.6100,24.7189
NTGY,25/04/2019,25.1100,24.7300,1409178,35308895.93,25.1100,25.2700,24.6900,25.0691
NTGY,26/04/2019,25.1700,25.1100,604897,15192844.30,25.1700,25.3000,24.9100,25.1164
NTGY,29/04/2019,25.0200,25.1700,452934,11323309.90,25.0200,25.1100,24.8800,24.9999
NTGY,30/04/2019,25.3200,25.0200,759625,19189145.40,25.3200,25.3200,25.0000,25.2613
NTGY,02/05/2019,25.4500,25.3200,1621794,41173708.41,25.4500,25.5500,25.1900,25.4310
NTGY,03/05/2019,25.6000,25.4500,640833,16406581.59,25.6000,25.7300,25.3400,25.6020
NTGY,06/05/2019,25.5800,25.6000,477389,12184338.71,25.5800,25.6200,25.3000,25.5229
NTGY,07/05/2019,26.0600,25.5800,1350649,34940590.49,26.0600,26.0800,25.5100,25.9722
NTGY,08/05/2019,25.9500,26.0600,1461578,37982031.10,25.9500,26.1500,25.7400,25.9694
NTGY,09/05/2019,25.5900,25.9500,1396117,35873841.67,25.5900,25.9200,25.5500,25.6948
NTGY,10/05/2019,25.9500,25.5900,1250286,32443957.00,25.9500,26.2200,25.5000,25.9497
NTGY,13/05/2019,26.2000,25.9500,964994,25232469.32,26.2000,26.2500,25.9600,26.1530
NTGY,14/05/2019,26.2400,26.2000,1080022,28280962.96,26.2400,26.3000,25.9400,26.1855
NTGY,15/05/2019,26.4600,26.2400,869944,22998492.53,26.4600,26.5800,26.1600,26.4351
NTGY,16/05/2019,26.9500,26.4600,1298851,34900404.04,26.9500,27.0000,26.3900,26.8706
NTGY,17/05/2019,26.9000,26.9500,799761,21506594.07,26.9000,26.9900,26.7700,26.8922
NTGY,20/05/2019,26.8900,26.9000,1618819,43592693.95,26.8900,27.1100,26.7300,26.8994
NTGY,21/05/2019,26.8000,26.8900,877747,23534959.45,26.8000,26.9400,26.6600,26.8129
NTGY,22/05/2019,26.7700,26.8000,1586705,42539596.58,26.7700,27.0000,26.6800,26.8073
