Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
REE,02/01/2019,19.7450,19.4950,908514,17858059.85,19.7450,19.8100,19.0650,19.6563
REE,03/01/2019,19.8050,19.7450,998939,19739188.40,19.8050,19.9250,19.5000,19.7675
REE,04/01/2019,19.5300,19.5350,807003,15760155.36,19.5300,19.6150,19.4150,19.5292
REE,07/01/2019,19.4800,19.5300,1174022,22888590.18,19.4800,19.5850,19.4300,19.4925
REE,08/01/2019,19.4800,19.4800,1936653,37673543.94,19.4800,19.5750,19.3350,19.4732
REE,09/01/2019,19.4900,19.4800,2257516,43944393.47,19.4900,19.5750,19.2150,19.4440
REE,10/01/2019,19.8250,19.4900,1728466,34180867.04,19.8250,19.8300,19.4500,19.7773
REE,11/01/2019,19.6800,19.8250,891810,17611277.18,19.6800,20.0100,19.6100,19.7478
REE,14/01/2019,19.5550,19.6800,2043030,39955101.02,19.5550,19.7300,19.4700,19.5430
REE,15/01/2019,19.6950,19.5550,1606185,31561353.19,19.6950,19.7750,19.3550,19.6252
REE,16/01/2019,19.2750,19.6950,1817515,35052417.68,19.2750,19.5000,19.1400,19.2801
REE,17/01/2019,19.6500,19.2750,1210769,23712860.61,19.6500,19.6550,19.2900,19.5850
REE,18/01/2019,19.6600,19.6500,3032195,59649383.84,19.6600,19.7250,19.4550,19.6338
REE,21/01/2019,19.5650,19.6600,747122,14629241.94,19.5650,19.7150,19.5100,19.5808
REE,22/01/2019,19.5850,19.5650,3254511,63847467.46,19.5850,19.7450,19.4000,19.6012
REE,23/01/2019,19.8500,19.5850,1570800,30998338.98,19.8500,19.8500,19.5200,19.7948
REE,24/01/2019,19.9150,19.8500,1383750,27485372.15,19.9150,19.9550,19.6800,19.8638
REE,25/01/2019,19.7500,19.9150,1453720,28766167.25,19.7500,19.9800,19.5950,19.7604
REE,28/01/2019,19.7300,19.7500,1601237,31527119.83,19.7300,19.8400,19.6000,19.7205
REE,29/01/2019,20.0900,19.7300,1694313,33881388.16,20.0900,20.1500,19.6500,20.0270
REE,30/01/2019,20.0300,20.0900,1089890,21826418.54,20.0300,20.1000,19.9600,20.0247
REE,31/01/2019,20.1000,20.0300,1920609,38562745.62,20.1000,20.1600,19.9950,20.0852
REE,01/02/2019,19.8450,20.1000,1388468,27583282.41,19.8450,20.2300,19.7650,19.8672
REE,04/02/2019,20.2400,19.8450,1756159,35379429.67,20.2400,20.2400,19.8550,20.1484
REE,05/02/2019,20.2400,20.2400,1750634,35403019.86,20.2400,20.3200,20.0600,20.2146
REE,06/02/2019,20.2400,20.2400,1187462,24051782.60,20.2400,20.3700,20.1300,20.2548
REE,07/02/2019,20.2000,20.2400,1080353,21801846.04,20.2000,20.3000,20.0800,20.1843
REE,08/02/2019,20.0800,20.2000,801481,16120524.11,20.0800,20.2500,20.0800,20.1134
REE,11/02/2019,19.8900,20.0800,1060564,21125516.62,19.8900,20.1700,19.8450,19.9191
REE,12/02/2019,19.8750,19.8900,1127025,22467272.72,19.8750,20.0700,19.8750,19.9347
REE,13/02/2019,19.5500,19.8750,2225926,43566097.17,19.5500,19.8850,19.4250,19.5662
REE,14/02/2019,19.6050,19.5500,2622567,51395089.22,19.6050,19.7450,19.4550,19.6019
REE,15/02/2019,19.3700,19.6050,2333001,45288985.29,19.3700,19.5850,19.3400,19.3933
REE,18/02/2019,19.4250,19.3700,1261216,24469888.62,19.4250,19.4950,19.2850,19.4091
REE,19/02/2019,19.3450,19.4250,1324434,25659995.86,19.3450,19.4550,19.3300,19.3743
REE,20/02/2019,18.8450,19.3450,3612051,68906125.34,18.8450,19.4750,18.7250,19.0161
REE,21/02/2019,18.8750,18.8450,4318535,81337473.17,18.8750,19.0100,18.6000,18.8133
REE,22/02/2019,19.1500,18.8750,3586624,67937119.87,19.1500,19.1500,18.7200,19.0744
REE,25/02/2019,19.1050,19.1500,1442927,27535718.85,19.1050,19.2650,18.9250,19.0866
REE,26/02/2019,19.0750,19.1050,1233624,23531266.76,19.0750,19.1550,19.0000,19.0747
REE,27/02/2019,18.9800,19.0750,1682333,31908287.22,18.9800,19.0950,18.8350,18.9667
REE,28/02/2019,19.0000,18.9800,1617342,30689036.31,19.0000,19.0400,18.8100,18.9750
REE,01/03/2019,18.7350,19.0000,2002040,37533870.26,18.7350,18.9350,18.6200,18.7444
REE,04/03/2019,18.8150,18.7350,2340967,43971013.53,18.8150,18.8200,18.6900,18.7828
REE,05/03/2019,18.4650,18.8150,2711560,50039245.88,18.4650,18.5400,18.3300,18.4511
REE,06/03/2019,18.7250,18.4650,1661402,31089783.85,18.7250,18.8600,18.4950,18.7110
REE,07/03/2019,19.2200,18.7250,2186615,41608180.49,19.2200,19.2200,18.6750,19.1059
REE,08/03/2019,19.0800,19.2200,1248480,23870802.65,19.0800,19.2800,19.0450,19.1199
