Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
SGRE,02/01/2019,10.9650,10.6400,1896944,20541699.32,10.9650,10.9900,10.4150,10.8288
SGRE,03/01/2019,10.7550,10.9650,1857783,19928355.27,10.7550,10.8750,10.6300,10.7270
SGRE,04/01/2019,11.1950,10.7550,2041674,22662180.77,11.1950,11.2500,10.8350,11.1043
SGRE,07/01/2019,11.2250,11.1950,1316263,14730723.72,11.2250,11.3100,11.0400,11.1895
SGRE,08/01/2019,11.4300,11.2250,2215984,25194904.98,11.4300,11.5250,11.1800,11.4002
SGRE,09/01/2019,11.6550,11.4300,2260211,26427698.74,11.6550,12.1000,11.5000,11.7131
SGRE,10/01/2019,11.3850,11.6550,1702281,19441391.72,11.3850,11.5700,11.3600,11.4219
SGRE,11/01/2019,11.3600,11.3850,938076,10683130.87,11.3600,11.5200,11.2850,11.3883
SGRE,14/01/2019,11.4400,11.3600,1021780,11665704.83,11.4400,11.5550,11.1000,11.4170
SGRE,15/01/2019,11.2500,11.4400,1449890,16409709.37,11.2500,11.6000,11.2400,11.3179
SGRE,16/01/2019,11.0900,11.2500,2379138,26331518.27,11.0900,11.3200,10.9750,11.0677
SGRE,17/01/2019,11.2150,11.0900,1378236,15469534.36,11.2150,11.3600,10.9750,11.2242
SGRE,18/01/2019,11.5200,11.2150,1783415,20599336.32,11.5200,11.6800,11.3000,11.5511
SGRE,21/01/2019,11.6750,11.5200,1050337,12211282.76,11.6750,11.6800,11.5150,11.6285
SGRE,22/01/2019,11.5900,11.6750,1168135,13559789.70,11.5900,11.6950,11.5450,11.6064
SGRE,23/01/2019,11.4650,11.5900,1175264,13543790.46,11.4650,11.6150,11.4650,11.5240
SGRE,24/01/2019,11.5300,11.4650,1230573,14232470.20,11.5300,11.6800,11.4850,11.5649
SGRE,25/01/2019,11.5250,11.5300,3828225,44577176.52,11.5250,11.8150,11.4900,11.6334
SGRE,28/01/2019,11.1250,11.5250,2358050,26415380.54,11.1250,11.4950,11.1150,11.2022
SGRE,29/01/2019,12.5750,11.1250,7173317,86391271.18,12.5750,12.7000,10.8000,12.0439
SGRE,30/01/2019,12.4500,12.5750,2701303,33434519.41,12.4500,12.6800,12.1050,12.3778
SGRE,31/01/2019,12.3800,12.4500,2286426,28326105.18,12.3800,12.6800,12.2600,12.3888
SGRE,01/02/2019,13.1300,12.3800,3815586,49466745.13,13.1300,13.1750,12.5200,12.9644
SGRE,04/02/2019,12.6550,13.1300,2491241,31800292.45,12.6550,13.2300,12.5300,12.7648
SGRE,05/02/2019,12.9650,12.6550,2643529,34156149.08,12.9650,13.0900,12.7000,12.9567
SGRE,06/02/2019,12.9100,12.9650,1238627,16049297.59,12.9100,13.1100,12.8750,12.9573
SGRE,07/02/2019,12.8950,12.9100,2258379,29212219.45,12.8950,13.1800,12.6550,12.9530
SGRE,08/02/2019,12.6700,12.8950,1514612,19314148.30,12.6700,13.0050,12.6200,12.7433
SGRE,11/02/2019,12.9550,12.6700,1147565,14814038.42,12.9550,12.9950,12.7200,12.9091
