Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
TRE,02/01/2019,21.0100,21.3400,186699,3906697.99,21.0100,21.3500,20.6100,20.9251
TRE,03/01/2019,20.7400,21.0100,194315,4040078.36,20.7400,21.1100,20.6300,20.7914
TRE,04/01/2019,21.4400,20.7400,181773,3877278.83,21.4400,21.7000,20.9800,21.3303
TRE,07/01/2019,21.4100,21.4400,135892,2916830.94,21.4100,21.8500,21.2200,21.4643
TRE,08/01/2019,21.8700,21.4100,121292,2643560.82,21.8700,22.0600,21.4900,21.7950
TRE,09/01/2019,23.0100,21.8700,234666,5394249.29,23.0100,23.3800,22.3500,22.9869
TRE,10/01/2019,23.0300,23.0100,114873,2645405.61,23.0300,23.1300,22.8700,23.0290
TRE,11/01/2019,22.4200,23.0300,134685,3030889.65,22.4200,23.1000,22.3500,22.5035
TRE,14/01/2019,22.6500,22.4200,90907,2043283.85,22.6500,22.6900,22.1000,22.4766
TRE,15/01/2019,22.8100,22.6500,89402,2037402.57,22.8100,22.9800,22.5500,22.7892
TRE,16/01/2019,22.6900,22.8100,91228,2078458.21,22.6900,23.0000,22.6900,22.7831
TRE,17/01/2019,22.4400,22.6900,105366,2367562.76,22.4400,22.7700,22.3300,22.4699
TRE,18/01/2019,22.2200,22.4400,394269,8813475.09,22.2200,22.6200,22.1700,22.3474
TRE,21/01/2019,22.8900,22.2200,139989,3178446.85,22.8900,22.9900,22.1600,22.7050
TRE,22/01/2019,22.5200,22.8900,171221,3864962.60,22.5200,22.8700,22.5200,22.5729
TRE,23/01/2019,22.1700,22.5200,145077,3255968.75,22.1700,22.7400,22.1400,22.4430
TRE,24/01/2019,22.1700,22.1700,148933,3300244.94,22.1700,22.4100,21.8600,22.1579
TRE,25/01/2019,22.8600,22.1700,319910,7228753.82,22.8600,22.9500,22.1500,22.5962
TRE,28/01/2019,22.5000,22.8600,177634,4029163.68,22.5000,23.0700,22.3300,22.6284
TRE,29/01/2019,22.5500,22.5000,139751,3154684.24,22.5500,22.8200,22.2100,22.5736
TRE,30/01/2019,22.2600,22.5500,135990,3029544.95,22.2600,22.4600,22.1700,22.2777
TRE,31/01/2019,22.3300,22.2600,353540,7901866.91,22.3300,22.5900,22.2800,22.3507
TRE,01/02/2019,23.4400,22.3300,367765,8519510.86,23.4400,23.4900,22.6000,23.1562
TRE,04/02/2019,23.4300,23.4400,184184,4306174.21,23.4300,23.6400,23.1300,23.3797
TRE,05/02/2019,23.3700,23.4300,107901,2520499.69,23.3700,23.4800,23.2000,23.3594
TRE,06/02/2019,23.4600,23.3700,77195,1809248.36,23.4600,23.5300,23.3000,23.4374
TRE,07/02/2019,22.4500,23.4600,194716,4432183.20,22.4500,23.4600,22.4200,22.7623
TRE,08/02/2019,21.9800,22.4500,170725,3763091.20,21.9800,22.5000,21.8800,22.0418
TRE,11/02/2019,22.0500,21.9800,146260,3220315.93,22.0500,22.1400,21.8200,22.0177
TRE,12/02/2019,22.3100,22.0500,102846,2296640.27,22.3100,22.6300,22.0400,22.3309
TRE,13/02/2019,22.6000,22.3100,99881,2247251.97,22.6000,22.6000,22.2300,22.4993
TRE,14/02/2019,22.4200,22.6000,86943,1957784.51,22.4200,22.7400,22.3400,22.5180
