Ticker,Date,Close,Reference,Volume,Turnover,Last,High,Low,Average
TEF,02/01/2019,7.4060,7.3390,15238949,111760417.82,7.4060,7.4200,7.2270,7.3601
TEF,03/01/2019,7.5290,7.4060,20327613,151879317.47,7.5290,7.5730,7.3600,7.5165
TEF,04/01/2019,7.6270,7.5290,13064758,99548661.56,7.6270,7.6990,7.5260,7.6198
TEF,07/01/2019,7.6960,7.6270,14858461,114051428.58,7.6960,7.7060,7.6130,7.6799
TEF,08/01/2019,7.6840,7.6960,17351760,133498637.23,7.6840,7.7500,7.6280,7.6899
TEF,09/01/2019,7.5270,7.6840,24145419,183347127.04,7.5270,7.7520,7.5270,7.5782
TEF,10/01/2019,7.6610,7.5270,11810127,90071247.85,7.6610,7.6610,7.5110,7.6276
TEF,11/01/2019,7.6700,7.6610,9896206,75874035.58,7.6700,7.6950,7.6400,7.6670
TEF,14/01/2019,7.6250,7.6700,11993724,91340045.06,7.6250,7.6510,7.5590,7.6175
TEF,15/01/2019,7.5930,7.6250,13776340,104659820.30,7.5930,7.6970,7.5240,7.5866
TEF,16/01/2019,7.6180,7.5930,15693025,119432402.08,7.6180,7.6530,7.5540,7.6104
TEF,17/01/2019,7.5670,7.6180,12425561,94118310.15,7.5670,7.6340,7.5380,7.5735
TEF,18/01/2019,7.6870,7.5670,19301656,156393452.95,7.6870,7.7160,7.5810,7.6672
TEF,21/01/2019,7.7040,7.6870,10310137,79123836.19,7.7040,7.7040,7.6060,7.6773
TEF,22/01/2019,7.6890,7.7040,19639538,150897044.16,7.6890,7.7460,7.6420,7.6903
TEF,23/01/2019,7.7280,7.6890,14393362,111261467.44,7.7280,7.7980,7.6450,7.7331
TEF,24/01/2019,7.7320,7.7280,12052559,93355440.33,7.7320,7.7910,7.6570,7.7385
TEF,25/01/2019,7.7140,7.7320,10112833,78098135.70,7.7140,7.7830,7.6880,7.7226
TEF,28/01/2019,7.6820,7.7140,8527719,65572712.31,7.6820,7.7530,7.6510,7.6901
TEF,29/01/2019,7.6300,7.6820,12234864,93600548.77,7.6300,7.7200,7.6280,7.6451
TEF,30/01/2019,7.5820,7.6300,15340218,116195717.12,7.5820,7.6360,7.5060,7.5710
TEF,31/01/2019,7.4950,7.5820,21542637,161728881.01,7.4950,7.6300,7.4460,7.5059
TEF,01/02/2019,7.5260,7.4950,17502790,131420159.79,7.5260,7.5580,7.4500,7.5073
TEF,04/02/2019,7.4600,7.5260,12935418,96651413.66,7.4600,7.5720,7.4050,7.4542
TEF,05/02/2019,7.6090,7.4600,15434643,116471868.22,7.6090,7.6090,7.4350,7.5743
TEF,06/02/2019,7.6140,7.6090,9295366,70747940.90,7.6140,7.6500,7.5600,7.6081
TEF,07/02/2019,7.4380,7.6140,12836190,95855366.25,7.4380,7.6030,7.4370,7.4639
TEF,08/02/2019,7.3070,7.4380,16865762,123301188.73,7.3070,7.4180,7.2360,7.3029
TEF,11/02/2019,7.3490,7.3070,9624277,70813468.98,7.3490,7.4140,7.3200,7.3561
TEF,12/02/2019,7.3520,7.3490,11375454,83812680.30,7.3520,7.4400,7.3330,7.3696
TEF,13/02/2019,7.3660,7.3520,8232791,60589147.63,7.3660,7.3790,7.3000,7.3552
TEF,14/02/2019,7.3150,7.3660,10247726,75196434.35,7.3150,7.4240,7.3050,7.3368
TEF,15/02/2019,7.5000,7.3150,16624584,123990698.82,7.5000,7.5120,7.3030,7.4607
TEF,18/02/2019,7.5620,7.5000,8689789,65716279.17,7.5620,7.5970,7.5040,7.5621
TEF,19/02/2019,7.6000,7.5620,12851245,97431398.27,7.6000,7.6350,7.5230,7.5854
TEF,20/02/2019,7.6800,7.6000,11084784,84853397.42,7.6800,7.6830,7.5750,7.6568
TEF,21/02/2019,7.7730,7.6800,29596987,230089407.08,7.7730,7.8300,7.7100,7.7687
TEF,22/02/2019,7.7680,7.7730,15121380,117366861.60,7.7680,7.8380,7.6860,7.7607
TEF,25/02/2019,7.7050,7.7680,14375870,112949541.25,7.7050,7.8280,7.7050,7.7348
TEF,26/02/2019,7.6000,7.7050,12312740,93639794.05,7.6000,7.6750,7.5420,7.5992
TEF,27/02/2019,7.5380,7.6000,12155927,91750148.53,7.5380,7.6000,7.5110,7.5447
TEF,28/02/2019,7.5890,7.5380,14585964,110337308.81,7.5890,7.5950,7.4710,7.5703
TEF,01/03/2019,7.4790,7.5890,16390702,123352255.46,7.4790,7.6170,7.4790,7.5171
TEF,04/03/2019,7.4240,7.4790,10103932,75153933.55,7.4240,7.5380,7.4100,7.4388
TEF,05/03/2019,7.4900,7.4240,13023317,97623043.21,7.4900,7.5560,7.4280,7.4951
TEF,06/03/2019,7.5270,7.4900,15620096,117328338.74,7.5270,7.5500,7.4830,7.5226
TEF,07/03/2019,7.5560,7.5270,17988714,138743411.07,7.5560,7.6770,7.5390,7.5783
TEF,08/03/2019,7.5760,7.5560,12366404,93698486.97,7.5760,7.6170,7.5140,7.5769
TEF,11/03/2019,7.6360,7.5760,8835501,67351272.50,7.6360,7.6420,7.5720,7.6238
TEF,12/03/2019,7.5700,7.6360,11504434,87086985.57,7.5700,7.6400,7.5300,7.5693
TEF,13/03/2019,7.5940,7.5700,10539993,80026604.74,7.5940,7.6190,7.5500,7.5927
TEF,14/03/2019,7.6090,7.5940,14884001,113557588.34,7.6090,7.7090,7.5820,7.6333
TEF,15/03/2019,7.8110,7.6090,44177685,342773772.42,7.8110,7.8250,7.6030,7.7809
TEF,18/03/2019,7.8250,7.8110,11331153,88766323.10,7.8250,7.8750,7.7970,7.8355
TEF,19/03/2019,7.8330,7.8250,10843916,85107451.94,7.8330,7.9000,7.8100,7.8481
TEF,20/03/2019,7.7230,7.8330,10995264,85369272.37,7.7230,7.8700,7.7230,7.7599
TEF,21/03/2019,7.7370,7.7230,11125810,86147112.00,7.7370,7.7820,7.7010,7.7422
TEF,22/03/2019,7.6000,7.7370,16012808,122668060.07,7.6000,7.7850,7.6000,7.6378
TEF,25/03/2019,7.5440,7.6000,13957224,105537486.90,7.5440,7.6430,7.5310,7.5628
TEF,26/03/2019,7.5740,7.5440,8911496,67408169.26,7.5740,7.5950,7.4950,7.5642
TEF,27/03/2019,7.5900,7.5740,10728467,81383523.91,7.5900,7.6390,7.5190,7.5839
TEF,28/03/2019,7.3920,7.5900,13867000,103214339.66,7.3920,7.6100,7.3920,7.4438
TEF,29/03/2019,7.4690,7.3920,12921924,96181621.31,7.4690,7.4690,7.3300,7.4435
TEF,01/04/2019,7.5110,7.4690,11122856,83424979.68,7.5110,7.5300,7.4350,7.5012
TEF,02/04/2019,7.4850,7.5110,14326480,107188001.83,7.4850,7.5200,7.4200,7.4788
TEF,03/04/2019,7.5530,7.4850,16394143,123758422.33,7.5530,7.5650,7.4910,7.5422
TEF,04/04/2019,7.6200,7.5530,14845406,112826953.47,7.6200,7.6350,7.5340,7.6074
TEF,05/04/2019,7.5080,7.6200,14249518,107266440.20,7.5080,7.6500,7.4710,7.5233
TEF,08/04/2019,7.4200,7.5080,18092531,137611357.07,7.4200,7.5020,7.3900,7.4303
TEF,09/04/2019,7.3880,7.4200,12689836,93971580.72,7.3880,7.4560,7.3820,7.4013
TEF,10/04/2019,7.3940,7.3880,9435471,69820134.11,7.3940,7.4370,7.3760,7.4035
TEF,11/04/2019,7.4360,7.3940,9182072,68154551.15,7.4360,7.4370,7.3630,7.4226
TEF,12/04/2019,7.4320,7.4360,16043829,119314544.74,7.4320,7.5020,7.3870,7.4403
TEF,15/04/2019,7.4670,7.4320,10439903,77959846.87,7.4670,7.4960,7.4440,7.4694
TEF,16/04/2019,7.4040,7.4670,9929837,73696293.56,7.4040,7.4890,7.4040,7.4167
TEF,17/04/2019,7.5000,7.4040,10635266,79468161.86,7.5000,7.5300,7.3910,7.4766
TEF,18/04/2019,7.5080,7.5000,13090742,98485019.91,7.5080,7.5360,7.4420,7.5061
TEF,23/04/2019,7.4320,7.5080,9608547,71007182.45,7.4320,7.5080,7.4150,7.4463
TEF,24/04/2019,7.3430,7.4320,11761310,86440512.00,7.3430,7.4240,7.3100,7.3494
TEF,25/04/2019,7.3840,7.3430,11171229,82159530.09,7.3840,7.3880,7.3010,7.3539
TEF,26/04/2019,7.4630,7.3840,13130436,97711689.18,7.4630,7.4860,7.3510,7.4503
TEF,29/04/2019,7.5100,7.4630,6932807,51865582.63,7.5100,7.5100,7.4110,7.4815
TEF,30/04/2019,7.4320,7.5100,14079756,104385106.07,7.4320,7.4410,7.3410,7.4154
TEF,02/05/2019,7.3210,7.4320,14238038,104578819.07,7.3210,7.4520,7.2970,7.3434
TEF,03/05/2019,7.2930,7.3210,18045685,132061177.78,7.2930,7.3530,7.2600,7.3004
TEF,06/05/2019,7.2880,7.2930,8390507,61003876.41,7.2880,7.3030,7.2100,7.2710
TEF,07/05/2019,7.2210,7.2880,14084149,102050372.93,7.2210,7.3470,7.1900,7.2415
TEF,08/05/2019,7.1800,7.2210,19191801,138070377.59,7.1800,7.2700,7.1640,7.1897
TEF,09/05/2019,7.1190,7.1800,26289257,189815607.65,7.1190,7.1770,7.0930,7.1248
TEF,10/05/2019,7.1070,7.1190,16638748,117763882.53,7.1070,7.2290,7.0000,7.0780
TEF,13/05/2019,7.0240,7.1070,15413391,108245156.19,7.0240,7.1200,6.9750,7.0228
TEF,14/05/2019,7.1110,7.0240,13752886,97585980.97,7.1110,7.1220,7.0370,7.1001
TEF,15/05/2019,7.1500,7.1110,14790574,105308798.56,7.1500,7.1580,7.0420,7.1265
TEF,16/05/2019,7.2170,7.1500,13266761,95307239.14,7.2170,7.2220,7.1200,7.1917
TEF,17/05/2019,7.1760,7.2170,21933648,157393150.47,7.1760,7.2330,7.1340,7.1791
TEF,20/05/2019,7.1770,7.1760,13401896,96282402.33,7.1770,7.2440,7.1420,7.1839
TEF,21/05/2019,7.2020,7.1770,10975695,79062267.13,7.2020,7.2520,7.1510,7.2036
TEF,22/05/2019,7.2280,7.2020,12419783,89539934.41,7.2280,7.2530,7.1590,7.2143
TEF,23/05/2019,7.1840,7.2280,12406710,89187074.55,7.1840,7.2270,7.1520,7.1891
TEF,24/05/2019,7.2040,7.1840,9913249,71564990.61,7.2040,7.2560,7.1850,7.2188
TEF,27/05/2019,7.2430,7.2040,3951931,28693621.03,7.2430,7.2860,7.2230,7.2501
TEF,28/05/2019,7.2520,7.2430,15748880,113925674.84,7.2520,7.2520,7.1750,7.2404
TEF,29/05/2019,7.1900,7.2520,8802835,63215731.80,7.1900,7.2030,7.1310,7.1815
